alias_name,canonical_name,record_type,conferences,raw_names,source_files,notes
speaker 2,,output,2020NES,Speaker 2,outputs/2020NES/output_2020_11_06_NES_S7/Zoom_Meeting_2020_11_06_12_11_46/Zoom_Meeting_2020_11_06_12_11_46.json,
unknown,,output,2020NES,Unknown Speaker,outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S9/2020_11_06_12_09_40/2020_11_06_12_09_40_chunk8.json,
unknown female,,output,2020NES,Unknown Female,outputs/2020NES/output_2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM/Zoom_Meeting_11_5_2020_12_11_13_PM.json,
unknown male,,output,2020NES,Unknown Male,outputs/2020NES/output_2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM/Zoom_Meeting_11_5_2020_12_11_13_PM.json,
yuan yue liu,,output,2020NES,Yuan Yue Liu,outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_59_13/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_09_59_13.json,
david gator kwabi,,output,2020NES | 2021NES,David Gator Kwabi,outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47/Zoom_Meeting_2020_11_06_10_17_47_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S12/B6_2021_11_05_13_06_36_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk5.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S2/B2_Zoom_Meeting_Room_2.2_2021_11_05_11_02_10_chunk8.json,
kelsey hatzell,,output,2020NES | 2021NES,Kelsey Hatzell,outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk6.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk7.json | outputs/2020NES/output_2020_11_05_NES_S2/2020_11_05_11_57_33/2020_11_05_11_57_33_chunk8.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_15_06/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_15_06.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00_chunk3.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk1.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk2.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk3.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk4.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk5.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk6.json | outputs/2021NES/output_2021_11_04_NES_S4/B4_maybe_wrong_time_2021_11_04_12_36_01_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S1/B1_2021_11_05_11_01_24_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S1/B1_2021_11_05_11_01_24_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S1/B1_2021_11_05_11_01_24_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S1/B1_2021_11_05_11_01_24_trimend_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S1/B1_2021_11_05_11_01_24_trimend_chunk9.json | outputs/2021NES/output_2021_11_05_NES_S3/B3_2021_11_05_11_01_14_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S3/B3_2021_11_05_11_01_14_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S3/B3_2021_11_05_11_01_14_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S4/B4_2021_11_05_11_00_54_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S4/B4_2021_11_05_11_00_54_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S4/B4_2021_11_05_11_00_54_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S4/B4_2021_11_05_11_00_54_trimend_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S4/B4_2021_11_05_11_00_54_trimend_chunk9.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk5.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S5/B5_2021_11_05_11_01_07_trimend_chunk9.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk9.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk5.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S8/B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk8.json,
shaama m sharada,,output,2020NES | 2021NES,Shaama M Sharada | Shaama M Sharada | Shaama M. Sharada,outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_28_39_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk5.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S11/B5_2021_11_05_13_06_53_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk1.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk10.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk11.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk12.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk2.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk3.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk4.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk5.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk6.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk7.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk8.json | outputs/2021NES/output_2021_11_05_NES_S6/B6_2021_11_05_11_01_03_trimend_chunk9.json,
alex walsh,,output,2021ABI,Alex Walsh,outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p1_Zoom_Meeting_2021_05_20_12_35_31.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S14/botB1_2021_05_21_13_09_38_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p1_Zoom_Meeting_2021_05_21_10_57_57.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p2_Zoom_Meeting_2021_05_21_10_58_22.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S3/bot2p3_Zoom_Meeting_Room_2_2021_05_21_10_58_31_chunk8.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S9/bot1_2021_05_21_13_08_36_chunk7.json,
alexandra dickinson,,truth,2021ABI,Alexandra Dickinson,analysis_v1/data/2021ABI/2021ABI_outcome.json,
alexandra walsh,,truth,2021ABI,Alexandra Walsh,analysis_v1/data/2021ABI/2021ABI_outcome.json,
beck kamilov,,output,2021ABI,Beck Kamilov,outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p1_Zoom_Meeting_2021_05_20_12_35_31.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk6.json | outputs/2021ABI/output_2021_05_20_ABI_S4/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p1_Zoom_Meeting_5_21_2021_1_08_57_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p2_Room_5_Zoom_Meeting_5_21_2021_1_11_16_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p3_Room_5_Zoom_Meeting_5_21_2021_1_11_42_PM.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S12/bot5p4_Zoom_Meeting_5_21_2021_1_12_46_PM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p1_Zoom_Meeting_5_21_2021_10_58_04_AM.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p2_Zoom_Meeting_5_21_2021_10_58_51_AM.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S5/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk8.json,
brad smith,,output,2021ABI,Brad Smith,outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_33_55.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_34_24.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_18.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53_chunk3.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53_chunk4.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53_chunk5.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44_chunk1.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44_chunk2.json | outputs/2021ABI/output_2021_05_20_ABI_S2/Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p1_Room_3_Zoom_Meeting_2021_05_21_13_10_02.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S11/bot3p2_Room_3_Zoom_Meeting_2021_05_21_13_10_16_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S15/botB3_2021_05_21_13_09_30_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p1_Zoom_Meeting_Room_6_2021_05_21_10_58_23.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p2_Zoom_Meeting_Room_6_2021_05_21_10_59_29.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk1.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk2.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk3.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk4.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk5.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk6.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk7.json | outputs/2021ABI/output_2021_05_21_ABI_S6/bot6p3_Zoom_Meeting_Room_6_2021_05_21_10_59_51_chunk8.json,
