session,label,edge_id,basis,links_to_extracted,links_to_name,from_speaker,from_timestamp,from_chunk,from_evidence,from_explanation,to_speaker,to_timestamp,to_chunk,to_evidence,is_self_link,is_cross_chunk,correct_yn,notes
2021_09_30_MZT_S5,MZT_S5,1,nearest_prior,False,,Pilar Fernandez,01:12-01:55,B5_2021_09_30_12_57_07_chunk1.json,you're gonna have dead ends. Um and there you're gonna have some uh hosts that are not going to contribute to onward transmission.,Pilar builds on the susceptibility idea by introducing the concept of dead-end hosts.,Ana Bento,00:51-01:12,B5_2021_09_30_12_57_07_chunk1.json,susceptibility is kind of like a necessary condition for a transmission chain to occur.,False,False,,
2021_09_30_MZT_S5,MZT_S5,25,named_speaker,True,Joyce Jose,Matt Hopken,08:11-08:58,B5_2021_09_30_12_57_07_chunk3.json,is there a way economically that we can move from just PCR based detection to actually understanding this organism,Builds on Joyce's point by framing it as an economic and methodological challenge for the group to consider.,Joyce Jose,07:11-08:10,B5_2021_09_30_12_57_07_chunk3.json,surveillance should not end there we should always go for isolating pathogens and with their potential for creating pandemics,False,False,,
2022_04_07_MND_S5,MND_S5,22,named_speaker,True,Rosa Krajmalnik-Brown,Faranak Fattahi,00:48-01:16,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk5.json,"are there ways that microbes could trigger higher production of mucus or is that like, you know, worse for their own survival?",She builds on Rosa's introduction of mucus by hypothesizing about microbial manipulation of mucus production.,Rosa Krajmalnik-Brown,00:28-00:48,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk5.json,"about mucus and the mucosal, you know, membrane because that's important too.",False,False,,
2022_04_07_MND_S5,MND_S5,36,on_table_idea,False,,Rosa Krajmalnik-Brown,01:00-01:30,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk7.json,maybe we can also add a bullet point of there are some lower throughput screening methods,Rosa suggests adding a specific point to the slide about lower throughput methods.,Erin Longbrake,08:46-09:39,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk4.json,"So to go back to Faranak's question, like what would be a model system to figure out if and how bacteria microbes impact let's just stick with the gut epithelial barrier this seems like an iterative screening process where you have a model system and you iteratively just screen",False,True,,
2022_04_07_MND_S5,MND_S5,7,nearest_prior,False,,Faranak Fattahi,01:49-02:04,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk3.json,like they could be directly secreted by them or expression of those proteins in the host could be altered by factors from the microbiome?,She builds on his idea by suggesting specific ways the microbiome might affect the components.,Melanie Gareau,08:41-09:53,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk2.json,whether things get in through permeability and then a second hit like stress is the one that breaks the central barrier for example,False,True,,
2022_04_07_MND_S5,MND_S5,20,named_speaker,True,Erin Longbrake,Faranak Fattahi,09:39-10:00,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk4.json,focus on a just general phenotype of barrier permeability and integrity of the epithelial barrier and just look to just isolate any sort of supernatant or bacterial species that impact that barrier,"Faranak builds on Erin's synthesis, detailing how the screening model would focus on the general phenotype of barrier integrity.",Erin Longbrake,08:46-09:39,BotB4_2022_04_07_09_36_38_time_off_by_3hrs_(should_be_later)_chunk4.json,"So to go back to Faranak's question, like what would be a model system to figure out if and how bacteria microbes impact let's just stick with the gut epithelial barrier this seems like an iterative screening process where you have a model system and you iteratively just screen",False,False,,
2021_05_21_ABI_S1,ABI_S1,5,named_speaker,True,Shannon Quine,Brian Pogue,07:28-07:58,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk2.json,like a multi-scale approach,Brian builds on Shannon's synthesis by suggesting a multi-scale framework.,Shannon Quine,07:13-07:27,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk2.json,how do we have a molecular dynamics situation for imaging data,False,False,,
2021_05_21_ABI_S1,ABI_S1,32,on_table_idea,False,,Carolyn Bayer,03:39-04:33,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json,a way to approach this might be to identify the imaging modality that currently does the best job of scaling,Carolyn proposes a strategy for selecting the imaging modality.,Katharine White,00:58-01:41,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk5.json,thinking about how you could do multi-modal imaging to identify a larger spatial or longer temporal scale,False,True,,
2021_05_21_ABI_S1,ABI_S1,30,nearest_prior,False,,Katharine White,01:48-02:57,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json,I think we actually have problems and then solutions to potentially address it.,Katharine outlines a path forward by linking problems to solutions.,Katy Keenan,01:22-01:26,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk8.json,That feels like an opportunity for some of the orthogonal imaging approaches also.,False,False,,
2021_05_21_ABI_S1,ABI_S1,12,named_speaker,True,Brian Pogue,Brian Spring,01:13-01:25,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk4.json,"I keep thinking of MRI or PET, something guiding a microscopic tool or photoacoustic tool.",Brian extends the idea of guided imaging to include specific modalities.,Brian Pogue,00:00-00:21,Bot_4_Breakout_Session_2_2021_05_21_10_58_43_chunk4.json,"CT is useless, you know. It gives you great images, but it's really insensitive to molecules.",False,False,,
2021_04_23_MND_S15,MND_S15,8,named_speaker,True,Ali Keshavarzian,Abhishek Shrivastava,05:04-05:38,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk3.json,what does changes in the motility of the gut mean to the microbes? You're increasing the fluid flows,Builds on Ali's mention of gut motility by proposing fluid flow as a mechanical stressor for microbes.,Ali Keshavarzian,02:01-04:20,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk3.json,"when we are discussing it, we have to just at least be clear in our mind what do we mean with stress.",False,False,,
2021_04_23_MND_S15,MND_S15,15,on_table_idea,False,,Ali Keshavarzian,01:11-01:32,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk4.json,vaginal environment is under tremendous amount of stress as well... continuous stress because of proximity,He expands the scope of the stress discussion to include the vaginal microbiome.,Ying-Hui Chou,08:01-08:04,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk2.json,"Like traumatic brain injury, that could be a stress.",False,True,,
2021_04_23_MND_S15,MND_S15,6,nearest_prior,False,,Stavroula Hatzios,00:17-00:19,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk3.json,And antibiotics too.,Adds antibiotics to the list of stressors.,Wenjing Wang,00:09-00:14,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk3.json,Or like the spice or things the host eat.,False,False,,
2021_04_23_MND_S15,MND_S15,20,named_speaker,True,Lisa Ryno,Abhishek Shrivastava,04:26-05:41,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk5.json,"what if the more prominent phyla was not Bacteroidetes, what if it was Proteobacteria... that could easily be genetically modified",He builds on Lisa's point by discussing the genetic tractability of different bacterial phyla in the gut.,Lisa Ryno,03:25-04:26,Breakout_Room_4_Session_3_2021_04_23_13_13_06_chunk5.json,how would you interface that with one of these organoid models,False,False,,
2021_06_11_SLU_S5,SLU_S5,31,named_speaker,True,Hilke Schlichting,Natasha Batalha,04:17-05:09,botB2_2021_06_11_10_58_55_chunk5.json,"thinking like zeroth order, you know, think of like a very simple gas like methane... if you observe 10 systems, is it there or is it not",She fleshes out Hilke's idea by providing a concrete example of how the zeroth-order observation would work.,Hilke Schlichting,03:41-04:17,botB2_2021_06_11_10_58_55_chunk5.json,just as a default and then we can compare that with observations and see whether that's true or not true,False,False,,
2021_06_11_SLU_S5,SLU_S5,3,on_table_idea,False,,Andro Rios,01:28-02:18,botB2_2021_06_11_10_58_55_chunk2.json,a continuity of precursor molecules so that you see that same isotopic signature in the same precursor compound,Andro adds the concept of tracking isotopic signatures through precursor and daughter compounds in a pathway.,Maggie Osburn,08:09-09:34,botB2_2021_06_11_10_58_55_chunk1.json,one of the biggest battles we fight is sort of the abiotic system mimicking the biological system in terms of the isotopic fractionations,False,True,,
2021_06_11_SLU_S5,SLU_S5,21,nearest_prior,False,,Natasha Batalha,04:45-05:48,botB2_2021_06_11_10_58_55_chunk4.json,with web we can get further into the infrared and so maybe in transmission you would be able to see some other kinds of condensation,Extends the discussion by introducing how the James Webb Space Telescope could provide new capabilities for this idea.,Morgan Raven,04:24-04:45,botB2_2021_06_11_10_58_55_chunk4.json,some of them might be like cloud condensation nuclei or something like that. Sulfate aerosols,False,False,,
2021_06_11_SLU_S5,SLU_S5,34,named_speaker,True,Jay Forsythe,Andro Rios,03:33-04:55,botB2_2021_06_11_10_58_55_chunk6.json,there are small reactive organic compounds in the absence of life would just degrade very quickly... that would be very exciting to expand with that to everybody else as well is that... there are other small organic molecules,He builds directly on Jay's point about small versus large organic molecules.,Jay Forsythe,00:00-03:32,botB2_2021_06_11_10_58_55_chunk6.json,I think it'll be really difficult to assign... when you have these really complex mixtures,False,False,,
2021_11_05_NES_S8,NES_S8,8,named_speaker,True,Eva Nichols,Emily Carter,07:01-07:34,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk3.json,how do you control the competition for adsorption and are there ways to do that both with the electrode material and the conditions,She extends Eva's idea by specifying the technical challenge of controlling competitive adsorption.,Eva Nichols,06:03-07:01,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk3.json,allowing us to do CO2 conversion from an impure CO2 stream or CO2 containing stream,False,False,,
2021_11_05_NES_S8,NES_S8,15,on_table_idea,False,,Shu Hu,07:40-08:17,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk4.json,maybe we also need to look at the time-resolved PDF you are going to see an average effect which actually wash out all the features,Adds a temporal dimension to the proposed technique.,Jose Mendoza,01:14-03:46,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk3.json,I was thinking on phase diagrams right so all these diagrams that it's like the wave function of all these compounds,False,True,,
2021_11_05_NES_S8,NES_S8,17,nearest_prior,False,,Emily Carter,08:18-08:25,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk4.json,it's going to require the FEL presumably,Adds a specific equipment requirement to the time-resolved idea.,Shu Hu,07:40-08:17,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk4.json,maybe we also need to look at the time-resolved PDF you are going to see an average effect which actually wash out all the features,False,False,,
2021_11_05_NES_S8,NES_S8,3,named_speaker,True,Emily Carter,Wilson Smith,09:26-10:00,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk2.json,"if we want a CO2 electrolyzer that makes syngas or CO, and we want to feed that to a Fischer-Tropsch synthesis plant, which is operating at 50 bar, then the question is do we need to operate the electrolysis at 50 bar?",Wilson extends Emily's point about matching fluxes to matching operating conditions like pressure.,Emily Carter,08:44-09:26,B2_Zoom_Meeting_Room_2_2021_11_05_13_07_15_chunk2.json,when you think about feeding the outcome of an of an electrolyzer... to a a biological system... it brings up the issue of matching fluxes.,False,False,,
