session,conf,label,edge_id,move_name,basis,links_to_extracted,links_to_name,from_idx,from_speaker,from_timestamp,from_chunk,to_idx,to_speaker,to_timestamp,to_chunk,is_self_link,is_cross_chunk,from_evidence,from_explanation,to_evidence
2020_11_05_NES_S3,2020NES,NES_S3,10,extends_existing_idea,on_table_idea,False,,41,Andrew Teixeira,03:04-03:30,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,3,Jeffrey Long,03:10-03:52,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,False,True,integrated in with porous materials or hierarchical materials to enhance transport,Suggests adding hierarchical porosity to the MEA design to solve the transport issue.,think about electrochemical possibilities for CO2 capture and separations
2020_11_05_NES_S3,2020NES,NES_S3,11,connects_methods,on_table_idea,False,,43,Andrew Teixeira,04:32-05:09,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,41,Andrew Teixeira,03:04-03:30,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,True,False,in heterogeneous catalysis what we'll typically do is dope a surface with palladium... there's this spillover effect concentrating and then passing it through a membrane or whatever it might be. Kind of interesting to me.,Connects the concept of catalytic spillover from heterogeneous catalysis to the current transport problem.,integrated in with porous materials or hierarchical materials to enhance transport
2020_11_05_NES_S3,2020NES,NES_S3,12,extends_existing_idea,on_table_idea,False,,43,Andrew Teixeira,04:32-05:09,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,41,Andrew Teixeira,03:04-03:30,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,True,False,in heterogeneous catalysis what we'll typically do is dope a surface with palladium... there's this spillover effect concentrating and then passing it through a membrane or whatever it might be. Kind of interesting to me.,Applies the spillover concept to concentrate CO2 before passing it through the membrane.,integrated in with porous materials or hierarchical materials to enhance transport
2020_11_05_NES_S3,2020NES,NES_S3,13,synthesizes_contributions,named_speaker,True,Andrew Teixeira,44,Fik Brushett,05:09-05:49,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,43,Andrew Teixeira,04:32-05:09,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,one of the problems I think that Jenny was talking about and Phil as well was kind of this selectivity issue,Connects Andrew's transport idea back to the selectivity problem raised earlier by Jenny and Phil.,in heterogeneous catalysis what we'll typically do is dope a surface with palladium... there's this spillover effect concentrating and then passing it through a membrane or whatever it might be. Kind of interesting to me.
2020_11_05_NES_S3,2020NES,NES_S3,14,extends_existing_idea,on_table_idea,False,,50,Will Bowman,07:14-07:23,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,41,Andrew Teixeira,03:04-03:30,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,"something that CO2 absorbs, reacts, and then another molecule desorbs which would be more useful than CO2.",Clarifies the functional goal of his proposed material.,integrated in with porous materials or hierarchical materials to enhance transport
2020_11_05_NES_S3,2020NES,NES_S3,15,combines_ideas,named_speaker,True,Will Bowman,51,Andrew Teixeira,07:23-08:06,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,50,Will Bowman,07:14-07:23,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,impregnate a nanoparticle within a cage and then you could capitalize on the molecular sieving properties,Combines Will's nanoparticle idea with the earlier discussion of molecular sieves to control selectivity.,"something that CO2 absorbs, reacts, and then another molecule desorbs which would be more useful than CO2."
2020_11_05_NES_S3,2020NES,NES_S3,16,combines_ideas,on_table_idea,False,,54,Jimmy Jiang,08:12-10:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,48,Will Bowman,06:22-07:07,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,"is there a way we can directly convert CO2 to a chemical right after absorption... attach two sites in close distance, one for sorption, one for catalytic reduction Phil already proposed to replace carbonyl with imine... is there a way we can do some fine tuning on the quinone ring",Combines the capture and conversion steps into a dual-site molecular design.,integrating some sort of catalytic metal site... into the oxide sorbent and then doing the absorption and conversion to a fuel in a single step
2020_11_05_NES_S3,2020NES,NES_S3,17,synthesizes_contributions,named_speaker,True,Phil Milner,54,Jimmy Jiang,08:12-10:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,37,Phil Milner,02:01-02:16,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,"is there a way we can directly convert CO2 to a chemical right after absorption... attach two sites in close distance, one for sorption, one for catalytic reduction Phil already proposed to replace carbonyl with imine... is there a way we can do some fine tuning on the quinone ring",Builds directly on Phil's earlier proposal regarding quinones and imines.,That's how I was thinking in my brain because I'm a MOF person... solid gas interface instead of gas liquid.
2020_11_05_NES_S3,2020NES,NES_S3,18,synthesizes_contributions,named_speaker,True,Jimmy Jiang,56,Jeffrey Long,00:15-00:47,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,55,Jimmy Jiang,00:00-00:15,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,False,False,along the lines of what Fik was mentioning before and trying to have some material that would sort of concentrate CO2,Jeff connects Jimmy's idea back to a concept Fik raised earlier.,go through this relay process to accelerate the overall reaction kinetics
2020_11_05_NES_S3,2020NES,NES_S3,19,raises_concern,on_table_idea,False,,57,Phil Milner,00:47-01:18,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,54,Jimmy Jiang,08:12-10:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,True,is there anything that's good enough to do that for air? Or is this ridiculous?,He expresses doubt about the feasibility of the approach for direct air capture.,"is there a way we can directly convert CO2 to a chemical right after absorption... attach two sites in close distance, one for sorption, one for catalytic reduction Phil already proposed to replace carbonyl with imine... is there a way we can do some fine tuning on the quinone ring"
2020_11_05_NES_S3,2020NES,NES_S3,20,critiques_or_challenges,on_table_idea,False,,59,Jeffrey Long,01:58-02:52,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,54,Jimmy Jiang,08:12-10:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,True,it's really tough. It's traditionally why we use membranes for high pressure gas mixture separations,He challenges the feasibility of using membranes for direct air capture based on concentration gradients.,"is there a way we can directly convert CO2 to a chemical right after absorption... attach two sites in close distance, one for sorption, one for catalytic reduction Phil already proposed to replace carbonyl with imine... is there a way we can do some fine tuning on the quinone ring"
2020_11_05_NES_S3,2020NES,NES_S3,21,extends_existing_idea,on_table_idea,False,,60,Andrew Teixeira,02:53-03:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,21,Phil Milner,05:55-07:37,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,True,it works based on a dissociative separation inside the metal... it's a potential interesting area.,He builds on the membrane discussion by suggesting an alternative mechanism (metallic membranes).,"try to find nitrogen-based um redox active things that you could reduce and make, you know, N minus or neutral amines, which now we know have good CO2 capture."
2020_11_05_NES_S3,2020NES,NES_S3,22,extends_existing_idea,named_speaker,True,Jenny Yang,62,Xiao Su,04:51-05:35,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,61,Jenny Yang,03:21-04:50,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,False,False,is there any interest in selectively separating the carbonate rather than you know you're just doing a simple pH swing,Xiao builds on Jenny's idea by suggesting the selective separation of the carbonate before use.,"instead of reducing CO2, let's reduce the alkyl carbonate or carbamate... can we electrochemically generate the precursor to these minerals to then directly synthesize them"
2020_11_05_NES_S3,2020NES,NES_S3,23,extends_existing_idea,nearest_prior,False,,63,David Kwabi,05:35-06:54,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,62,Xiao Su,04:51-05:35,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,False,False,one thing you can do with the carbonate is precipitate it... maybe some sort of building material perhaps.,David extends the carbonate discussion by suggesting precipitation into a useful solid like building materials.,is there any interest in selectively separating the carbonate rather than you know you're just doing a simple pH swing
2020_11_05_NES_S3,2020NES,NES_S3,24,extends_existing_idea,nearest_prior,False,,65,David Kwabi,07:24-07:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,63,David Kwabi,05:35-06:54,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,True,False,"other materials that are you know useful for other application sets. cement is pretty ubiquitous and useful, but also probably really cheap.",David pushes the idea further by asking for materials beyond just cement.,one thing you can do with the carbonate is precipitate it... maybe some sort of building material perhaps.
2020_11_05_NES_S3,2020NES,NES_S3,25,critiques_or_challenges,nearest_prior,False,,65,David Kwabi,07:24-07:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,63,David Kwabi,05:35-06:54,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,True,False,"other materials that are you know useful for other application sets. cement is pretty ubiquitous and useful, but also probably really cheap.",He evaluates the economic viability of targeting cement.,one thing you can do with the carbonate is precipitate it... maybe some sort of building material perhaps.
2020_11_05_NES_S3,2020NES,NES_S3,26,extends_existing_idea,named_speaker,True,Burcu Gurkan,74,Jesus Velazquez,03:51-04:48,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,73,Burcu Gurkan,00:54-03:51,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,False,False,trying to to opt to to take advantage of potential confinement effects by doing you know uh doing heterostructured materials I think it it might be also analogous uh to you know to CO2 capture if we could get the CO2 you know to to to be in close proximity,Jesus builds on Burcu's encapsulation idea by suggesting heterostructured materials.,can we think about materials that would like have some induced entropic effects that would drive uh let's say the regeneration of CO2.
2020_11_05_NES_S3,2020NES,NES_S3,27,combines_ideas,on_table_idea,False,,74,Jesus Velazquez,03:51-04:48,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,54,Jimmy Jiang,08:12-10:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,True,trying to to opt to to take advantage of potential confinement effects by doing you know uh doing heterostructured materials I think it it might be also analogous uh to you know to CO2 capture if we could get the CO2 you know to to to be in close proximity,He connects his knowledge of conversion heterostructures to the group's goal of capture.,"is there a way we can directly convert CO2 to a chemical right after absorption... attach two sites in close distance, one for sorption, one for catalytic reduction Phil already proposed to replace carbonyl with imine... is there a way we can do some fine tuning on the quinone ring"
2020_11_05_NES_S3,2020NES,NES_S3,28,extends_existing_idea,on_table_idea,False,,75,Fik Brushett,04:48-05:45,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,21,Phil Milner,05:55-07:37,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,True,"When you started to talk about encapsulation, I started to think about emulsions. So think nanoemulsions",Fik explicitly builds on the encapsulation concept to propose nanoemulsions.,"try to find nitrogen-based um redox active things that you could reduce and make, you know, N minus or neutral amines, which now we know have good CO2 capture."
2020_11_05_NES_S3,2020NES,NES_S3,29,extends_existing_idea,nearest_prior,False,,77,Fik Brushett,05:57-06:23,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,75,Fik Brushett,04:48-05:45,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk4.json,True,False,you could imagine if this emulsion you could then hopefully like get gas fluxing through it,He further elaborates on how the mechanism would function.,"When you started to talk about encapsulation, I started to think about emulsions. So think nanoemulsions"
2020_11_05_NES_S3,2020NES,NES_S3,30,extends_existing_idea,named_speaker,True,Fik Brushett,93,Burcu Gurkan,01:03-02:28,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,92,Fik Brushett,00:00-01:03,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,False,False,in cabin you want something non-volatile kind of kind of benign solvent,Burcu builds on Fik's cabin capture idea by specifying the material requirements for that environment.,are there applications that you could think about where electrochemical technologies... are uniquely positioned... in cabin capture
2020_11_05_NES_S3,2020NES,NES_S3,31,redirects_idea,on_table_idea,False,,94,Fik Brushett,02:29-02:53,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,92,Fik Brushett,00:00-01:03,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,True,False,are we jumping the gun going directly to direct air capture... are there other opportunities along the way down the CO2 concentration curve,Fik reframes the discussion to consider intermediate CO2 concentrations rather than just the extremes of flue gas or direct air capture.,are there applications that you could think about where electrochemical technologies... are uniquely positioned... in cabin capture
2020_11_05_NES_S3,2020NES,NES_S3,32,synthesizes_contributions,on_table_idea,False,,101,Xiao Su,07:40-09:44,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,92,Fik Brushett,00:00-01:03,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk5.json,False,False,we started off with degradation pathways... reactor format... electrochemical sorbents the best solution... developing multifunctional materials,Xiao successfully integrates the various divergent ideas raised over the session into cohesive thematic categories.,are there applications that you could think about where electrochemical technologies... are uniquely positioned... in cabin capture
2020_11_05_NES_S3,2020NES,NES_S3,33,synthesizes_contributions,on_table_idea,False,,104,Andrew Teixeira,00:24-00:33,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,15,David Kwabi,00:44-03:04,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,True,discussion on improving the quinone chemistries or alternatives to quinone chemistries,Andrew summarizes a major theme from the earlier discussion.,thinking about ways of building sort of multifunctional uh either interfaces or materials... start with uh like an ionic liquid... and then you sort of build on top of that some sort of functionality
2020_11_05_NES_S3,2020NES,NES_S3,34,synthesizes_contributions,on_table_idea,False,,106,David Kwabi,00:48-00:59,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,60,Andrew Teixeira,02:53-03:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk3.json,False,True,the discussion of thermodynamics and taking advantage of entropy for separation,David synthesizes another major theme from the session.,it works based on a dissociative separation inside the metal... it's a potential interesting area.
2020_11_05_NES_S3,2020NES,NES_S3,35,combines_ideas,on_table_idea,False,,109,Fik Brushett,01:35-01:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,40,Fik Brushett,02:26-03:04,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,True,True,"reactor format, encapsulation, and capture of CO2 and conversion can really all be folded into one bullet",Fik proposes merging several distinct engineering ideas into a single category.,you do these kind of things in hydrogen oxygen fuel cells
2020_11_05_NES_S3,2020NES,NES_S3,36,synthesizes_contributions,on_table_idea,False,,113,Jeffrey Long,01:53-02:00,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,109,Fik Brushett,01:35-01:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,Reactor format for CO2 capture and conversion?,Jeff proposes a specific phrasing for the synthesized bullet.,"reactor format, encapsulation, and capture of CO2 and conversion can really all be folded into one bullet"
2020_11_05_NES_S3,2020NES,NES_S3,37,extends_existing_idea,on_table_idea,False,,114,Fik Brushett,02:00-02:11,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,109,Fik Brushett,01:35-01:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,True,False,Or reactors and electrolytes for CO2 capture and conversion.,Fik refines Jeff's phrasing to include electrolytes.,"reactor format, encapsulation, and capture of CO2 and conversion can really all be folded into one bullet"
2020_11_05_NES_S3,2020NES,NES_S3,38,extends_existing_idea,on_table_idea,False,,115,Jeffrey Long,02:11-02:13,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,109,Fik Brushett,01:35-01:43,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,Maybe an electrolyte engineering for CO2 capture and conversion?,Jeff offers another variation on the phrasing.,"reactor format, encapsulation, and capture of CO2 and conversion can really all be folded into one bullet"
2020_11_05_NES_S3,2020NES,NES_S3,39,synthesizes_contributions,nearest_prior,False,,117,Jeffrey Long,02:17-02:22,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,115,Jeffrey Long,02:11-02:13,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,True,False,that actually that encapsulates a lot of the discussion I heard.,Jeff confirms that the chosen phrasing effectively summarizes their prior ideation.,Maybe an electrolyte engineering for CO2 capture and conversion?
2020_11_05_NES_S3,2020NES,NES_S3,40,raises_concern,nearest_prior,False,,123,Jesus Velazquez,02:52-03:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,117,Jeffrey Long,02:17-02:22,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"I'm not sure if this is something that as a group we wanna... it takes, you know, a priority. I feel passionately about multifunctional materials",Jesus expresses doubt about whether his topic fits the group's limited list.,that actually that encapsulates a lot of the discussion I heard.
2020_11_05_NES_S3,2020NES,NES_S3,41,returns_to_earlier_idea,on_table_idea,False,,123,Jesus Velazquez,02:52-03:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,104,Andrew Teixeira,00:24-00:33,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"I'm not sure if this is something that as a group we wanna... it takes, you know, a priority. I feel passionately about multifunctional materials",Jesus brings back his earlier idea about multifunctional materials.,discussion on improving the quinone chemistries or alternatives to quinone chemistries
2020_11_05_NES_S3,2020NES,NES_S3,42,combines_ideas,named_speaker,True,Jesus Velazquez,125,Fik Brushett,03:11-03:22,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,123,Jesus Velazquez,02:52-03:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"I think you could squeeze it into quinone chemistry, right? Say like, could we do multi-functional squeeze it into quinone chemistry",Fik creatively integrates Jesus's topic into an already accepted bullet point.,"I'm not sure if this is something that as a group we wanna... it takes, you know, a priority. I feel passionately about multifunctional materials"
2020_11_05_NES_S3,2020NES,NES_S3,43,resolves_contradiction,named_speaker,True,Jesus Velazquez,125,Fik Brushett,03:11-03:22,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,123,Jesus Velazquez,02:52-03:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"I think you could squeeze it into quinone chemistry, right? Say like, could we do multi-functional squeeze it into quinone chemistry",Fik resolves the tension between keeping the list short and including Jesus's idea.,"I'm not sure if this is something that as a group we wanna... it takes, you know, a priority. I feel passionately about multifunctional materials"
2020_11_05_NES_S3,2020NES,NES_S3,44,synthesizes_contributions,on_table_idea,False,,126,Xiao Su,03:23-03:28,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,104,Andrew Teixeira,00:24-00:33,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"this one is more the materials, this is more thermal, and this is more sort of engineering.",Xiao maps the three final bullets to distinct disciplinary domains.,discussion on improving the quinone chemistries or alternatives to quinone chemistries
2020_11_05_NES_S3,2020NES,NES_S3,45,extends_existing_idea,nearest_prior,False,,130,Burcu Gurkan,03:36-03:41,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,126,Xiao Su,03:23-03:28,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk6.json,False,False,"And I think the degradation was really, um, part of improvement.",Burcu ensures that degradation is explicitly included in the chemistry bullet.,"this one is more the materials, this is more thermal, and this is more sort of engineering."
2020_11_06_NES_S10,2020NES,NES_S10,0,extends_existing_idea,nearest_prior,False,,36,Wilson Smith,03:08-03:44,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,33,Venkat Viswanathan,00:45-02:51,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,False,False,this kind of screening of catalysts can also be used to screen feedstock,Wilson extends the ML/screening idea to include screening feedstocks.,how can their discovery and optimize be accelerated... robotic experimentation and machine learning I think is going to fundamentally alter this space
2020_11_06_NES_S10,2020NES,NES_S10,1,extends_existing_idea,on_table_idea,False,,37,Jenny Yang,03:46-05:23,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,33,Venkat Viswanathan,00:45-02:51,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,False,False,can we design architectures that can do cascades... optimize a sequence of them and then organize them,Jenny extends the discussion by proposing the use of ML to optimize cascade architectures.,how can their discovery and optimize be accelerated... robotic experimentation and machine learning I think is going to fundamentally alter this space
2020_11_06_NES_S10,2020NES,NES_S10,2,extends_existing_idea,on_table_idea,False,,38,Caleb Hill,05:34-06:25,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,37,Jenny Yang,03:46-05:23,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,False,False,looking beyond kind of the classic well-characterized electrode materials onto things that are you know kind of polyelemental,"Caleb builds on the cascade idea by suggesting the exploration of complex, polyelemental materials.",can we design architectures that can do cascades... optimize a sequence of them and then organize them
2020_11_06_NES_S10,2020NES,NES_S10,3,extends_existing_idea,nearest_prior,False,,39,Pratik Dholabhai,06:26-07:28,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,38,Caleb Hill,05:34-06:25,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32_chunk1.json,False,False,throughput computing combined with you know machine learning or trying to understand you know what targeted properties we are looking for,Pratik extends the ML idea by integrating throughput computing to find cost-effective materials.,looking beyond kind of the classic well-characterized electrode materials onto things that are you know kind of polyelemental
