global_person_id,normalized_name,conference
person_0037,erin longbrake,2021MND
person_0037,erin longbrake,2022MND
person_0038,eva nichols,2020NES
person_0038,eva nichols,2021NES
person_0039,faranak fattahi,2021MND
person_0039,faranak fattahi,2022MND
person_0040,feng jiao,2020NES
person_0040,feng jiao,2021NES
person_0041,feng lin,2020NES
person_0041,feng lin,2021NES
person_0042,fik brushett,2020NES
person_0042,fik brushett,2021NES
person_0043,gary f moore,2020NES
person_0043,gary f moore,2021NES
person_0044,george shields,2020NES
person_0044,george shields,2021NES
person_0045,george weinstock,2021MND
person_0045,george weinstock,2022MND
person_0046,gianna hammer,2021MND
person_0046,gianna hammer,2022MND
person_0047,greeshma gadikota,2020NES
person_0047,greeshma gadikota,2021NES
person_0048,haotian wang,2020NES
person_0048,haotian wang,2021NES
person_0049,harris wang,2021MND
person_0049,harris wang,2022MND
person_0050,heather bean,2021MND
person_0050,heather bean,2022MND
person_0051,irene yang,2021MND
person_0051,irene yang,2022MND
person_0052,jared mason,2020NES
person_0052,jared mason,2021NES
person_0053,jeff long,2020NES
person_0053,jeff long,2021NES
person_0054,jenny yang,2020NES
person_0054,jenny yang,2021NES
person_0055,jesus velazquez,2020NES
person_0055,jesus velazquez,2021NES
person_0056,jim mitchell,2021ABI
person_0056,jim mitchell,2021CMC
person_0057,jimmy jiang,2020NES
person_0057,jimmy jiang,2021NES
person_0058,jordi cabana,2020NES
person_0058,jordi cabana,2021NES
person_0059,jose mendoza,2020NES
person_0059,jose mendoza,2021NES
person_0060,judith eisen,2021MND
person_0060,judith eisen,2022MND
person_0061,kai zhang,2021MND
person_0061,kai zhang,2022MND
person_0062,kaixiong ye,2021MND
person_0062,kaixiong ye,2022MND
person_0063,katherine hornbostel,2020NES
person_0063,katherine hornbostel,2021NES
person_0064,katie knowles,2020NES
person_0064,katie knowles,2021NES
person_0065,kelsey b hatzell,2020NES
person_0065,kelsey b hatzell,2021NES
person_0066,kristen schell,2020NES
person_0066,kristen schell,2021NES
person_0067,leah pyter,2021MND
person_0067,leah pyter,2022MND
person_0068,linnea freeman,2021MND
person_0068,linnea freeman,2022MND
person_0069,linsey seitz,2020NES
person_0069,linsey seitz,2021NES
person_0070,lisa osborne,2021MND
person_0070,lisa osborne,2022MND
person_0071,luisa whittaker brooks,2020NES
person_0071,luisa whittaker brooks,2021NES
person_0072,marcel schreier,2020NES
person_0072,marcel schreier,2021NES
person_0073,mark mimee,2021MND
person_0073,mark mimee,2022MND
person_0074,marta hatzell,2020NES
person_0074,marta hatzell,2021NES
person_0075,matt green,2020NES
person_0075,matt green,2021NES
person_0076,mei shen,2021MND
person_0076,mei shen,2022MND
person_0077,melanie gareau,2021MND
person_0077,melanie gareau,2022MND
person_0078,michael nippe,2020NES
person_0078,michael nippe,2021NES
person_0079,multiple speakers,2021SLU
person_0079,multiple speakers,2022MND
person_0080,nandita garud,2021MND
person_0080,nandita garud,2022MND
person_0081,nanette boyle,2020NES
person_0081,nanette boyle,2021NES
person_0082,oana luca,2020NES
person_0082,oana luca,2021NES
person_0083,pamela chang,2021MND
person_0083,pamela chang,2022MND
person_0084,peter reiners,2020NES
person_0084,peter reiners,2021NES
person_0085,pratik dholabhai,2020NES
person_0085,pratik dholabhai,2021NES
person_0086,praveen bollini,2020NES
person_0086,praveen bollini,2021NES
person_0087,rafael santos,2020NES
person_0087,rafael santos,2021NES
person_0088,rebecca gieseking,2020NES
person_0088,rebecca gieseking,2021NES
person_0089,richard weiner,2021ABI
person_0089,richard weiner,2021MND
person_0090,richard wiener rcsa,2020NES
person_0090,richard wiener rcsa,2021NES
person_0091,rob coridan,2020NES
person_0091,rob coridan,2021NES
person_0092,roger aines,2020NES
person_0092,roger aines,2021NES
person_0093,rosa krajmalnik brown,2021MND
person_0093,rosa krajmalnik brown,2022MND
person_0094,sarbajit banerjee,2020NES
person_0094,sarbajit banerjee,2021NES
person_0095,sen zhang,2020NES
person_0095,sen zhang,2021NES
person_0096,shaama sharada,2020NES
person_0096,shaama sharada,2021NES
person_0097,shu hu,2020NES
person_0097,shu hu,2021NES
person_0098,simona liguori,2020NES
person_0098,simona liguori,2021NES
person_0099,stephanie cologna,2021MND
person_0099,stephanie cologna,2022MND
person_0100,tom mansell,2021MND
person_0100,tom mansell,2022MND
person_0101,valentina prigiobbe,2020NES
person_0101,valentina prigiobbe,2021NES
person_0102,venkat viswanathan,2020NES
person_0102,venkat viswanathan,2021NES
person_0103,wilson a smith,2020NES
person_0103,wilson a smith,2021NES
person_0104,xiao su,2020NES
person_0104,xiao su,2021NES
person_0105,xin qi,2021ABI
person_0105,xin qi,2021MND
person_0106,yanjiao zhou,2021MND
person_0106,yanjiao zhou,2022MND
person_0107,ying hui chou,2021ABI
person_0107,ying hui chou,2021MND
person_0108,yuanyue liu,2020NES
person_0108,yuanyue liu,2021NES
person_0109,a ali yanik,2021MZT
person_0110,aaron e engelhart,2021SLU
person_0111,aaron longbrake,2022MND
person_0112,abhishek,2021MND
person_0113,abhishek singharoy,2021CMC
person_0114,ada ibrahimi,2021ABI
person_0115,adela,2021MZT
person_0116,adela s oliva chavez,2021MZT
person_0117,aida ibrahim,2021MND
person_0118,aleksandra vojvodic,2021NES
person_0119,alexander green,2021CMC
person_0120,alexandra bafort,2021MND
person_0121,alexandra dickinson,2021ABI
person_0122,alexandra walsh,2021ABI
person_0123,alexis komor,2021CMC
person_0124,ali yanik,2021MZT
person_0125,alice soragni,2021CMC
person_0126,alison,2021CMC
person_0127,alison ondrus,2021CMC
person_0128,alissa weaver,2021MND
person_0129,allie obermeyer,2021CMC
person_0130,allison dennis,2021ABI
person_0131,amanda stockton,2021SLU
person_0132,amina schartup,2021MND
person_0133,amy hartman,2021MZT
person_0134,amy vincent,2021MZT
person_0135,ana bento,2021MZT
person_0136,ananya renuka balakrishna,2021NES
person_0137,anat shahar,2021SLU
person_0138,andrew,2020NES
person_0139,andrew diener,2021MND
person_0140,andrew fogg,2021ABI
person_0141,andrew hoge,2021ABI
person_0142,andrew vanderburg,2021SLU
person_0143,andro c rios,2021SLU
person_0144,andy skemer,2021SLU
person_0145,angad mehta,2021MZT
person_0146,angela arenas,2021MZT
person_0147,angela hagen,2020NES
person_0148,aniruddha ray,2021ABI
person_0149,anirudh,2021ABI
person_0150,anna,2021CMC
person_0151,anna hultgren,2021ABI
person_0152,anna karin gustavsson,2021ABI
person_0153,anna marie sokac,2021CMC
person_0154,anna moore,2021ABI
person_0155,annika,2022MND
person_0156,annika barber,2022MND
person_0157,arne bakker,2021ABI
person_0158,arnold hayer,2021ABI
person_0159,aseema,2021ABI
person_0160,aseema mohanty,2021ABI
person_0161,audrey ruple,2021MZT
person_0162,avery e strait,2021MZT
person_0163,barbara smith,2021ABI
person_0164,benjamin bartelle,2021ABI
person_0165,beth lautner,2021MZT
person_0166,bethany mcgregor,2021MZT
person_0167,betsy cantwell,2020NES
person_0168,betul kacar,2021SLU
person_0169,bill,2021ABI
person_0170,bishakha mona,2021MND
person_0171,botb1,2021NES
person_0172,brad foley,2021SLU
person_0173,brenda marilyn rubenstein,2021MZT
person_0174,brian pogue,2021ABI
person_0175,brian zid,2021CMC
person_0176,bryan spring,2021ABI
person_0177,caitlin davis,2021CMC
person_0178,camille nebeker,2021MND
person_0179,candace fleischer,2021ABI
person_0180,candace leslie,2021NES
person_0181,caroline saouma,2021NES
person_0182,caroline sinders,2021SLU
person_0183,carolyn bayer,2021ABI
person_0184,cathy murphy,2021CMC
person_0185,cesar de la fuente,2021MND
person_0186,cheemeng tan,2021CMC
person_0187,cheryl andam,2021MZT
person_0188,chris gorski,2020NES
person_0189,chris martin,2021SLU
person_0190,chris reinhard,2021SLU
person_0191,chris whittley,2021ABI
person_0192,christine johnson,2021MZT
person_0193,christine k johnson,2021MZT
person_0194,christoph thaiss,2021MZT
person_0195,christopher hamilton,2021SLU
person_0196,chuck lewis,2021MZT
person_0197,clara arrieta,2021MND
person_0198,claudia herrera tulane,2021MZT
person_0199,claudia p herrera,2021MZT
person_0200,coco zhang,2021SLU
person_0201,colin basler,2021MZT
person_0202,cori bargmann,2021ABI
person_0203,corinne maurice,2022MND
person_0204,courtney dressing,2021SLU
person_0205,courtney robinson,2021MND
person_0206,crystal hepp,2021MZT
person_0207,crystal rogers,2021ABI
person_0208,curt horvath,2021MZT
person_0209,dan huber,2021SLU
person_0210,dana n mitzel,2021MZT
person_0211,danae schulz,2021MZT
person_0212,daniel,2020NES
person_0213,daniel apai,2021SLU
person_0214,daniel becker,2021MZT
person_0215,daniel yawitz,2020NES
person_0216,david koweek,2020NES
person_0217,david steuerman,2021SLU
person_0218,david van valen,2021ABI
person_0219,davide donadio,2021CMC
person_0220,diane matar,2021SLU
person_0221,diego huet,2021MZT
person_0222,dimitar sasselov,2021SLU
person_0223,dmitri kosenkov,2021CMC
person_0224,douglas shepherd,2021ABI
person_0225,dylan burnette,2021ABI
person_0226,dylan mccreedy,2021ABI
person_0227,ed mccleskey,2021ABI
person_0228,eddie schwieterman,2021SLU
person_0229,edwin kite,2021SLU
person_0230,efrem lim,2021MZT
person_0231,elaine hsiao,2021MND
person_0232,eliza kempton,2021SLU
person_0233,elizabeth read,2021CMC
person_0234,elizabeth weiss,2020NES
person_0235,ellen b stechel,2021NES
person_0236,ellen sletten,2021ABI
person_0237,ellen stechel,2021NES
person_0238,emily balkus,2021MND
person_0239,emily carter,2021NES
person_0240,erica matunis,2021CMC
person_0241,erik procko,2021MZT
person_0242,erik sperling,2021SLU
person_0243,erika matunis,2021CMC
person_0244,evan michelson,2021NES
person_0245,fanny chapelin,2021ABI
person_0246,fateme rezaei,2020NES
person_0247,fatima hassan,2020NES
person_0248,ferdinand schweser,2021ABI
person_0249,fikile brushett,2020NES
person_0250,flavio frohlich,2021MND
person_0251,france cordova,2021SLU
person_0252,g w gant luxton,2021CMC
person_0253,gabriela schlau cohen,2021CMC
person_0254,gang yu liu,2021CMC
person_0255,gant lupton,2021CMC
person_0256,gant luton,2021CMC
person_0257,gant luxton,2021CMC
person_0258,gary greenberg,2021CMC
person_0259,gary greenburg,2021CMC
person_0260,girgis obaid,2021ABI
person_0261,gisselle medina,2021MZT
person_0262,gongjie li,2021SLU
person_0263,gonzalo vazquez prokopec,2021MZT
person_0264,grace stokes,2021CMC
person_0265,greg fournier,2021SLU
person_0266,guillaume bastille rousseau,2021MZT
person_0267,gulcin pekkurnaz,2021CMC
person_0268,gulin pekkurmaz,2021CMC
person_0269,gulon pekkumaz,2021CMC
person_0270,hannah frank,2021MZT
person_0271,haoran zhang,2021CMC
person_0272,haotian wang rice,2021NES
person_0273,heather walden,2021MZT
person_0274,hilke schlichting,2021SLU
person_0275,hoa kang,2021CMC
person_0276,holly goodson,2021CMC
person_0277,hongfu liu,2021MZT
person_0278,iliyan iliev,2022MND
person_0279,isabelle gee,2021NES
person_0280,j p yu,2021MND
person_0281,jae sung,2021MND
person_0282,jaeyun sung,2022MND
person_0283,jamie bender,2021SLU
person_0284,jan spille,2021CMC
person_0285,jane zelikova,2020NES
person_0286,jarad mason,2021NES
person_0287,jason ladner,2021MZT
person_0288,jay forsythe,2021SLU
person_0289,jayani,2021ABI
person_0290,jeffrey marlow,2021SLU
person_0291,jen wilcox,2020NES
person_0292,jennifer b glass,2021SLU
person_0293,jennifer wilcox,2020NES
person_0294,jenny g maloney,2021MZT
person_0295,ji wang,2021SLU
person_0296,jianbing jimmy jiang,2021NES
person_0297,jin,2021ABI
person_0298,jin zhang,2021ABI
person_0299,joan brennecke,2021NES
person_0300,joan woodard,2021MND
person_0301,jochen marschall,2021SLU
person_0302,jodi lilley,2022MND
person_0303,joe levy,2021SLU
person_0304,joel zylberberg,2021MND
person_0305,john paul yu,2021MND
person_0306,josh drake,2021ABI
person_0307,joshua brake,2021ABI
person_0308,joshua weinstein,2021CMC
person_0309,joyce jose,2021MZT
person_0310,joyoni,2021ABI
person_0311,joyoni dey,2021ABI
person_0312,jp,2021MND
person_0313,jp yu,2022MND
person_0314,juan perilla,2021CMC
person_0315,judith su,2021CMC
person_0316,julia brown,2020NES
person_0317,julien berro,2021CMC
person_0318,justin bahl,2021MZT
person_0319,k leslie abdul aziz,2021NES
person_0320,kaisong,2022MND
person_0321,kandis gilliard abdul aziz,2021NES
person_0322,katharine white,2021ABI
person_0323,katherine de kleer,2021SLU
person_0324,katherine hornbostel pitt,2021NES
person_0325,kathryn haas,2021CMC
person_0326,kathy f liu,2021CMC
person_0327,katy keenan,2021ABI
person_0328,keith hawkins,2021SLU
person_0329,kevin,2021ABI
person_0330,kevin cash,2021ABI
person_0331,kevin tidwell,2020NES
person_0332,kezia manlove,2021MZT
person_0333,kim m pepin,2021MZT
person_0334,kimberly lau,2021SLU
person_0335,kristen,2021ABI
person_0336,kristen maitland,2021ABI
person_0337,kristen matland,2021ABI
person_0338,kristin s koutmou,2021MZT
person_0339,larry,2021ABI
person_0340,larry cheng,2021ABI
person_0341,lars peter,2021CMC
person_0342,lars plate,2021CMC
person_0343,laura sanchez,2021CMC
person_0344,laura schaefer,2021SLU
person_0345,lauren charles,2021MZT
person_0346,laurene tetard,2021MZT
person_0347,laurie barge,2021SLU
person_0348,lawrence david,2021MND
person_0349,leah,2021MND
person_0350,leo liu,2020NES
person_0351,leslie anne rogers,2021SLU
person_0352,li chiang lin,2020NES
person_0353,liliana salvador,2021MZT
person_0354,liming li,2021SLU
person_0355,lin zhang,2021ABI
person_0356,lina quan,2021NES
person_0357,linda detwiler,2021MZT
person_0358,lingyan,2021ABI
person_0359,lingyan shi,2021ABI
person_0360,lisa,2021ABI
person_0361,lisa kaltenegger,2021SLU
person_0362,lisa poulikakos,2021ABI
person_0363,lisa raino,2021MND
person_0364,liz mccormack,2021SLU
person_0365,lu wang,2021CMC
person_0366,lu wei,2021ABI
person_0367,luke mortensen,2021ABI
person_0368,lulu cambronne,2021CMC
person_0369,lydia kisley,2021CMC
person_0370,maayan levy,2021MND
person_0371,maggie osburn,2021SLU
person_0372,malika,2021ABI
person_0373,marc neveu,2021SLU
person_0374,marcel schreier uw madison,2021NES
person_0375,maria kamenetska,2021CMC
person_0376,marie claire arrieta,2021MND
person_0377,mark q wilber,2021MZT
person_0378,mark sellmyer,2021ABI
person_0379,markita landry,2021CMC
person_0380,martin gruebele,2021CMC
person_0381,mary voytek,2021SLU
person_0382,maryellen giger,2021ABI
person_0383,mathieu g a lapotre,2021SLU
person_0384,matt,2021ABI
person_0385,matt begley,2021ABI
person_0386,matt bogyo,2021ABI
person_0387,matt erdman,2021MZT
person_0388,matt lew,2021ABI
person_0389,matt lovett barron,2021ABI
person_0390,matthew w hopken,2021MZT
person_0391,matthias heyden,2021CMC
person_0392,melanie,2021MND
person_0393,melike lakadamyali,2021ABI
person_0394,meredith macgregor,2021SLU
person_0395,michael,2021MND
person_0396,michael burton,2021MND
person_0397,michelle farkas,2021CMC
person_0398,mike o donnell,2022MND
person_0399,mike wimberly,2021MZT
person_0400,mimi,2021ABI
person_0401,mimi sammarco,2021ABI
person_0402,mini,2021ABI
person_0403,mini das,2021ABI
person_0404,molly bright,2021ABI
person_0405,mona razzaghi,2020NES
person_0406,morgan cable,2021SLU
person_0407,morgan raven,2021SLU
person_0408,morteza mahmoudi,2021ABI
person_0409,natasha batalha,2021SLU
person_0410,nathan deyonker,2021CMC
person_0411,nathaniel m gabor,2021SLU
person_0412,neel shah,2021CMC
person_0413,neil kelleher,2021CMC
person_0414,nick,2021ABI
person_0415,nick cowan,2021SLU
person_0416,nick galati,2021ABI
person_0417,nicole eikmeier,2021MZT
person_0418,nicole lewis,2021SLU
person_0419,niki parenteau,2021SLU
person_0420,nikole lewis,2021SLU
person_0421,nina cardoza,2021ABI
person_0422,noah palm,2021MND
person_0423,noah planavsky,2021SLU
person_0424,other,2021ABI
person_0425,paola m boggiatto,2021MZT
person_0426,paris perdikaris,2021ABI
person_0427,patricia barron,2021NES
person_0428,paul robertson,2021SLU
person_0429,paul selvin,2021CMC
person_0430,paula driedger,2021SLU
person_0431,pete reiners,2020NES
person_0432,peter dorhout,2021MZT
person_0433,peter driscoll,2021SLU
person_0434,phil milner,2020NES
person_0435,phill milner,2021NES
person_0436,pilar fernandez,2021MZT
person_0437,ping wang,2021ABI
person_0438,prashant singh,2021MZT
person_0439,rachel parker,2021SLU
person_0440,rachel saylor,2022MND
person_0441,ran blekhman,2022MND
person_0442,rebecca garabed,2021MZT
person_0443,rebecca l smith,2021MZT
person_0444,remi bouteille,2020NES
person_0445,remi boutelle,2020NES
person_0446,remibouteille,2020NES
person_0447,remy,2020NES
person_0448,richard,2021ABI
person_0449,richard allen,2021MND
person_0450,richard diener,2021MND
person_0451,rigoberto hernandez,2021CMC
person_0452,rika anderson,2021SLU
person_0453,rima kaddurah daouk,2022MND
person_0454,robert bryan,2021MND
person_0455,robert bryan jr,2021MND
person_0456,robert coridan,2021NES
person_0457,robert gilliard,2020NES
person_0458,robin michelle voigt zuwala,2021MND
person_0459,robin voigt zuwala,2021MND
person_0460,roger,2020NES
person_0461,roger aimes,2021NES
person_0462,roger aines llnl,2021NES
person_0463,rommie amaro,2021CMC
person_0464,rongsheng wang,2021CMC
person_0465,ronit freeman,2021CMC
person_0466,roza v krishnaniah brown,2021MND
person_0467,rui zhang,2021MND
person_0468,s stephen yi,2021CMC
person_0469,sabarjee,2020NES
person_0470,safwan,2021ABI
person_0471,salvador almagro moreno,2021MZT
person_0472,samuel achilefu,2021ABI
person_0473,sandy schmid,2021CMC
person_0474,sapun parekh,2021ABI
person_0475,sara zimmer,2021MZT
person_0476,sarah maceachern,2021MND
person_0477,sarkis mazmanian,2021MND
person_0478,sen pei,2021MZT
person_0479,seo sim,2021ABI
person_0480,seth childers,2021CMC
person_0481,seunghyun sim,2021ABI
person_0482,shankar mukherji,2021CMC
person_0483,shannon mackenzie,2021SLU
person_0484,shannon quinn,2021ABI
person_0485,shawn domagal goldman,2021SLU
person_0486,shikha nangia,2021MND
person_0487,shiva abbasi,2021ABI
person_0488,shiva abbbaszadeh,2021ABI
person_0489,shwetadwip chowdhury,2021ABI
person_0490,silver,2021ABI
person_0491,silvia hubein,2021MZT
person_0492,silvie huijben,2021MZT
person_0493,silvie ronco,2021MND
person_0494,simon darroch,2021SLU
person_0495,siu sim,2021ABI
person_0496,sixian you,2021ABI
person_0497,smadar naoz,2021SLU
person_0498,solange duhamel,2021SLU
person_0499,srigokul upadhyayula,2021ABI
person_0500,stefan wilhelm,2021ABI
person_0501,stefano di talia,2021CMC
person_0502,stephanie,2021MND
person_0503,stephanie gupton,2021CMC
person_0504,stephanie olson,2021SLU
person_0505,stephen fried,2021CMC
person_0506,steve jett,2021ABI
person_0507,stilianos louca,2021SLU
person_0508,sylvia ronco,2021MND
person_0509,t leo liu,2021NES
person_0510,tania lupoli,2021CMC
person_0511,tanya,2021CMC
person_0512,tanya nguyen,2021MND
person_0513,taras pogorelov,2021CMC
person_0514,tavis k anderson,2021MZT
person_0515,tianbiao leo liu,2020NES
person_0516,tim sampson,2021MND
person_0517,timothy w lyons,2021SLU
person_0518,tori hoehler,2021SLU
person_0519,tori hoeler,2021SLU
person_0520,trinity l hamilton,2021SLU
person_0521,troy clavell sutton,2021MZT
person_0522,tyler d robinson,2021SLU
person_0523,ukpong eyo,2022MND
person_0524,ulugbek kamilov,2021ABI
person_0525,uzay emir,2021ABI
person_0526,victoria meadows,2021SLU
person_0527,victoria s meadows,2021SLU
person_0528,vivian,2021ABI
person_0529,vivian qian liu,2021ABI
person_0530,wei min,2021ABI
person_0531,weimin,2021ABI
person_0532,wenjing,2021MND
person_0533,wenting,2021MND
person_0534,wilfred van der donk,2021MZT
person_0535,will bowman,2020NES
person_0536,will ludington,2021MND
person_0537,william j bowman,2021NES
person_0538,william witola,2021MZT
person_0539,xiao su uiuc,2020NES
person_0540,yajuan lin,2021NES
person_0541,yan yu,2021CMC
person_0542,yang yu liu,2021MND
person_0543,yanling chang,2021MZT
person_0544,yayuan liu,2021NES
person_0545,yevgenia kozorovitskiy,2021ABI
person_0546,ying chen,2021MND
person_0547,zhou lin,2021NES
person_0548,ziming yang,2021SLU
person_0549,zishin chi,2021MND
person_0550,zongqi xia,2021MND
