conference,session_group,old_num_teams,new_num_teams,old_num_funded_teams,new_num_funded_teams,old_has_teams,new_has_teams,old_has_funded_teams,new_has_funded_teams,missing_in_old
2021MND,2021_04_23_MND_S12,1.0,1,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S13,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_23_MND_S14,0.0,1,0.0,0,False,True,False,False,False
2021MND,2021_04_23_MND_S15,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_23_MND_S16,3.0,3,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S2,2.0,2,1.0,1,True,True,True,True,False
2021MND,2021_04_23_MND_S3,2.0,2,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S4,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_23_MND_S5,2.0,2,1.0,1,True,True,True,True,False
2021MND,2021_04_23_MND_S6,2.0,2,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S7,1.0,1,0.0,0,True,True,False,False,False
2021MND,2021_04_23_MND_S8,0.0,0,0.0,0,False,False,False,False,False
2021MND,2021_04_23_MND_S9,2.0,2,0.0,0,True,True,False,False,False
2021MZT,2021_09_30_MZT_S1,,2,,1,,True,,True,True
2021MZT,2021_09_30_MZT_S2,1.0,1,0.0,0,True,True,False,False,False
2021MZT,2021_09_30_MZT_S3,1.0,1,0.0,0,True,True,False,False,False
2021MZT,2021_09_30_MZT_S4,1.0,1,0.0,0,True,True,False,False,False
2021MZT,2021_09_30_MZT_S5,1.0,2,1.0,2,True,True,True,True,False
2021MZT,2021_09_30_MZT_S6,1.0,1,1.0,1,True,True,True,True,False
2021MZT,2021_09_30_MZT_S7,8.0,8,5.0,5,True,True,True,True,False
2021MZT,2021_10_01_MZT_S1,2.0,2,0.0,0,True,True,False,False,False
2021MZT,2021_10_01_MZT_S10,,2,,1,,True,,True,True
2021MZT,2021_10_01_MZT_S11,2.0,2,2.0,2,True,True,True,True,False
2021MZT,2021_10_01_MZT_S12,,2,,2,,True,,True,True
2021MZT,2021_10_01_MZT_S13,,4,,4,,True,,True,True
2021MZT,2021_10_01_MZT_S2,1.0,1,0.0,0,True,True,False,False,False
2021MZT,2021_10_01_MZT_S3,3.0,4,2.0,3,True,True,True,True,False
2021MZT,2021_10_01_MZT_S4,2.0,1,1.0,1,True,True,True,True,False
2021MZT,2021_10_01_MZT_S5,2.0,3,1.0,1,True,True,True,True,False
2021MZT,2021_10_01_MZT_S6,,4,,3,,True,,True,True
2021MZT,2021_10_01_MZT_S7,1.0,1,1.0,1,True,True,True,True,False
2021MZT,2021_10_01_MZT_S8,1.0,1,0.0,0,True,True,False,False,False
2021MZT,2021_10_01_MZT_S9,0.0,0,0.0,0,False,False,False,False,False
2021NES,2021_11_04_NES_S1,2.0,2,1.0,1,True,True,True,True,False
2021NES,2021_11_04_NES_S2,2.0,2,0.0,0,True,True,False,False,False
2021NES,2021_11_04_NES_S3,2.0,2,1.0,1,True,True,True,True,False
2021NES,2021_11_04_NES_S4,0.0,1,0.0,0,False,True,False,False,False
2021NES,2021_11_04_NES_S5,3.0,3,1.0,1,True,True,True,True,False
2021NES,2021_11_04_NES_S6,1.0,1,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S1,4.0,4,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S10,1.0,1,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S11,1.0,1,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S12,0.0,0,0.0,0,False,False,False,False,False
2021NES,2021_11_05_NES_S2,1.0,1,0.0,0,True,True,False,False,False
2021NES,2021_11_05_NES_S3,4.0,4,0.0,0,True,True,False,False,False
2021NES,2021_11_05_NES_S4,1.0,1,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S5,3.0,3,2.0,2,True,True,True,True,False
2021NES,2021_11_05_NES_S6,4.0,4,1.0,1,True,True,True,True,False
2021NES,2021_11_05_NES_S7,1.0,2,0.0,0,True,True,False,False,False
2021NES,2021_11_05_NES_S8,0.0,0,0.0,0,False,False,False,False,False
2021NES,2021_11_05_NES_S9,1.0,1,0.0,0,True,True,False,False,False
2021SLU,2021_06_10_SLU_S1,3.0,3,1.0,1,True,True,True,True,False
2021SLU,2021_06_10_SLU_S2,2.0,2,1.0,1,True,True,True,True,False
2021SLU,2021_06_10_SLU_S3,1.0,1,0.0,0,True,True,False,False,False
2021SLU,2021_06_10_SLU_S4,2.0,2,2.0,2,True,True,True,True,False
2021SLU,2021_06_10_SLU_S5,2.0,2,1.0,1,True,True,True,True,False
2021SLU,2021_06_10_SLU_S6,2.0,2,0.0,0,True,True,False,False,False
2021SLU,2021_06_10_SLU_S7,0.0,0,0.0,0,False,False,False,False,False
2021SLU,2021_06_11_SLU_S1,3.0,3,1.0,1,True,True,True,True,False
2021SLU,2021_06_11_SLU_S10,1.0,1,0.0,0,True,True,False,False,False
2021SLU,2021_06_11_SLU_S11,2.0,2,1.0,1,True,True,True,True,False
2021SLU,2021_06_11_SLU_S12,1.0,1,0.0,0,True,True,False,False,False
2021SLU,2021_06_11_SLU_S13,2.0,2,0.0,0,True,True,False,False,False
2021SLU,2021_06_11_SLU_S2,0.0,0,0.0,0,False,False,False,False,False
2021SLU,2021_06_11_SLU_S3,1.0,1,1.0,1,True,True,True,True,False
2021SLU,2021_06_11_SLU_S4,2.0,2,1.0,1,True,True,True,True,False
2021SLU,2021_06_11_SLU_S5,0.0,0,0.0,0,False,False,False,False,False
2021SLU,2021_06_11_SLU_S6,3.0,3,0.0,0,True,True,False,False,False
2021SLU,2021_06_11_SLU_S7,1.0,1,1.0,1,True,True,True,True,False
2021SLU,2021_06_11_SLU_S8,2.0,2,2.0,2,True,True,True,True,False
2021SLU,2021_06_11_SLU_S9,1.0,1,0.0,0,True,True,False,False,False
2022MND,2022_04_07_MND_S1,3.0,1,1.0,1,True,True,True,True,False
2022MND,2022_04_07_MND_S2,2.0,2,0.0,0,True,True,False,False,False
2022MND,2022_04_07_MND_S3,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_07_MND_S4,2.0,2,1.0,1,True,True,True,True,False
2022MND,2022_04_07_MND_S5,2.0,2,1.0,1,True,True,True,True,False
2022MND,2022_04_07_MND_S6,2.0,3,1.0,2,True,True,True,True,False
2022MND,2022_04_08_MND_S1,1.0,1,0.0,0,True,True,False,False,False
2022MND,2022_04_08_MND_S10,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_08_MND_S11,2.0,2,0.0,0,True,True,False,False,False
2022MND,2022_04_08_MND_S12,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_08_MND_S2,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_08_MND_S3,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_08_MND_S4,1.0,1,0.0,0,True,True,False,False,False
2022MND,2022_04_08_MND_S5,3.0,3,1.0,1,True,True,True,True,False
2022MND,2022_04_08_MND_S6,0.0,0,0.0,0,False,False,False,False,False
2022MND,2022_04_08_MND_S7,1.0,1,1.0,1,True,True,True,True,False
2022MND,2022_04_08_MND_S8,1.0,1,0.0,0,True,True,False,False,False
2022MND,2022_04_08_MND_S9,0.0,0,0.0,0,False,False,False,False,False
