session,speaker_a,speaker_b,n_links,example_builder,example_move,example_text,builds_on_speaker,builds_on_text,how_resolved
CMC_S11,Rigoberto Hernandez,Wenjing Wang,3,Rigoberto Hernandez,extends_existing_idea,how faithful is growth to symmetry? And we know that most humans... are not perfectly symmetric.,Wenjing Wang,how much room for mistakes is allowed in this process... is there a way that we can perturb this certain process... to see what would be required or necessary,matched an idea on the table
CMC_S11,Rigoberto Hernandez,Yan Yu,3,Rigoberto Hernandez,redirects_idea,So maybe this leads to the question about how do we measure these spatial temporal processes.,Yan Yu,how does a cell effectively regulate the crosstalk between multiple many signaling pathways,matched an idea on the table
CMC_S11,Gulcin Pekkurnaz,Taras Pogorelov,2,Gulcin Pekkurnaz,synthesizes_contributions,"We talked about molecular crowding... bioelectrical signals, chemical gradients... mechanical, so it should be both if the cell shape is changing, that itself is going to have impact and it's going to create some kind of signal",Taras Pogorelov,"to see how the noisy environment, how basically signaling networks can function in noisy environment of the cell",matched an idea on the table
NES_S8,Emily Carter,Wilson Smith,5,Emily Carter,extends_existing_idea,when you think about feeding the outcome of an of an electrolyzer... to a a biological system... it brings up the issue of matching fluxes.,Wilson Smith,we need to learn from them but then also define uh design criteria for CO2 electrolyzers.,explanation named the person
NES_S8,Emily Carter,Linsey Seitz,4,Emily Carter,extends_existing_idea,using ionic liquids because CO2 can you can get higher concentrations of CO2 into ionic liquids... but ionic liquids are expensive how is that going to really scale up,Linsey Seitz,pushing experimental techniques to be able to probe those relevant uh length scales is kind of interesting.,matched an idea on the table
NES_S8,Linsey Seitz,Wilson Smith,3,Wilson Smith,extends_existing_idea,designing a cell for characterization that can give you nanoscale um information that also represents a large scale reactor,Linsey Seitz,pushing experimental techniques to be able to probe those relevant uh length scales is kind of interesting.,explanation named the person
NES_S8,Emily Carter,Shu Hu,2,Emily Carter,extends_existing_idea,it's going to require the FEL presumably,Shu Hu,maybe we also need to look at the time-resolved PDF you are going to see an average effect which actually wash out all the features,fallback — most recent prior idea
NES_S8,Kelsey Hatzell,Shu Hu,2,Kelsey Hatzell,synthesizes_contributions,some thread between a lot of different comments have been like how do we understand mechanisms,Shu Hu,how does that actually play a role across multiple scales,fallback — most recent prior idea
NES_S8,Linsey Seitz,Shu Hu,2,Shu Hu,extends_existing_idea,how does current models bridge a couple of scales from macroscopic scale all the way down to molecular scale,Linsey Seitz,pushing experimental techniques to be able to probe those relevant uh length scales is kind of interesting.,matched an idea on the table
ABI_S1,Brian Pogue,Katharine White,5,Katharine White,raises_concern,I would have no idea in terms of that,Brian Pogue,"in the microscopy world, this is where it's done a lot",fallback — most recent prior idea
ABI_S1,Brian Pogue,Shannon Quine,3,Shannon Quine,synthesizes_contributions,how do we have a molecular dynamics situation for imaging data,Brian Pogue,"And can you have both? Can you have high spatial, high temporal?",matched an idea on the table
ABI_S1,Brian Pogue,Brian Spring,2,Brian Spring,extends_existing_idea,"I keep thinking of MRI or PET, something guiding a microscopic tool or photoacoustic tool.",Brian Pogue,"CT is useless, you know. It gives you great images, but it's really insensitive to molecules.",explanation named the person
ABI_S1,Brian Pogue,Josh Brake,2,Brian Pogue,extends_existing_idea,"The thing that came to my mind was sort of palm and storm microscopy, right, where you've got probes that have you actually use the temporal nature of the probe to identify where it's coming from",Josh Brake,I wonder if there's a hybrid modality where you have a front end which is maximally performant in space and time.,matched an idea on the table
ABI_S1,Carolyn Bayer,Katharine White,2,Carolyn Bayer,extends_existing_idea,a way to approach this might be to identify the imaging modality that currently does the best job of scaling,Katharine White,thinking about how you could do multi-modal imaging to identify a larger spatial or longer temporal scale,matched an idea on the table
ABI_S1,Katharine White,Katy Keenan,2,Katy Keenan,extends_existing_idea,That feels like an opportunity for some of the orthogonal imaging approaches also.,Katharine White,how to determine... by combining imaging modality analysis,matched an idea on the table
MND_S15,Abhishek Shrivastava,Carolina Tropini,2,Carolina Tropini,critiques_or_challenges,"interestingly, a lot of the microbiota is not motile... a lot of the fiber degraders just do not have flagella.",Abhishek Shrivastava,what does changes in the motility of the gut mean to the microbes? You're increasing the fluid flows,matched an idea on the table
MND_S15,Abhishek Shrivastava,Lisa Ryno,2,Lisa Ryno,combines_ideas,how would you interface that with one of these organoid models,Abhishek Shrivastava,changes in oxygen are definitely one type of stress,matched an idea on the table
MND_S15,Abhishek Shrivastava,Ying-Hui Chou,2,Abhishek Shrivastava,extends_existing_idea,changes in oxygen are definitely one type of stress,Ying-Hui Chou,"Like traumatic brain injury, that could be a stress.",matched an idea on the table
MND_S15,Aida Ebrahimi,Ali Keshavarzian,2,Ali Keshavarzian,critiques_or_challenges,"The first point, Aida, was the microbial associated, not host derived.",Aida Ebrahimi,"when the host is under stress, we know a lot of biochemicals in our saliva for example, it is changing and we can measure them. Like when our cortisol level is changing",explanation named the person
MND_S15,Ali Keshavarzian,Ying-Hui Chou,2,Ali Keshavarzian,extends_existing_idea,vaginal environment is under tremendous amount of stress as well... continuous stress because of proximity,Ying-Hui Chou,"Like traumatic brain injury, that could be a stress.",matched an idea on the table
MND_S15,Carolina Tropini,Ying-Hui Chou,2,Carolina Tropini,extends_existing_idea,I was thinking more on the cellular stress... is it I feel stressed out today or is it heat stress,Ying-Hui Chou,"Like traumatic brain injury, that could be a stress.",matched an idea on the table
SLU_S5,Andro Rios,Maggie Osburn,4,Andro Rios,extends_existing_idea,a continuity of precursor molecules so that you see that same isotopic signature in the same precursor compound,Maggie Osburn,one of the biggest battles we fight is sort of the abiotic system mimicking the biological system in terms of the isotopic fractionations,matched an idea on the table
SLU_S5,Eliza Kempton,Maggie Osburn,4,Eliza Kempton,extends_existing_idea,thinking about trends over many objects... what would be the smoking gun of life if you could see a particular trend in many planets,Maggie Osburn,one of the biggest battles we fight is sort of the abiotic system mimicking the biological system in terms of the isotopic fractionations,matched an idea on the table
SLU_S5,Maggie Osburn,Morgan Raven,4,Morgan Raven,extends_existing_idea,I mean even the Martian sulfur isotopes right it really drives home that you can get these really large fractionations,Maggie Osburn,one of the biggest battles we fight is sort of the abiotic system mimicking the biological system in terms of the isotopic fractionations,explanation named the person
SLU_S5,Tori Hoehler,Tori Hoeler,4,Tori Hoeler,synthesizes_contributions,fun dynamic that I see emerging here right which is on the observational side kind of looking at what's feasible... and then on the more in situ side developing the rationale,Tori Hoehler,some of that to me just to try to carry this forward gets to is kind of emblematic of a bigger issue how do you distinguish what's alive and what's on a trajectory to be alive,explanation named the person
SLU_S5,Amanda Stockton,Andro Rios,3,Amanda Stockton,synthesizes_contributions,to kind of come back to what Andro was saying... we would expect to see more enrichment of lighter isotopes,Andro Rios,a continuity of precursor molecules so that you see that same isotopic signature in the same precursor compound,explanation named the person
SLU_S5,Amanda Stockton,Jay Forsythe,2,Jay Forsythe,extends_existing_idea,I can almost imagine something similar but just on a chemical level where you dope in different organics that are isotopically enriched and then do model prebiotic reactions,Amanda Stockton,get like a massive database of everything that everyone has done in the literature so far and then we could start to correlate different formation environments with different amino acid structures,explanation named the person
