conf,session,speaker,move_name,names_anyone,names_other,named_person,rule_fired,explanation
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She connects the high-altitude idea back to the earlier wind farm analogy.
2020NES,2020_11_05_NES_S1,Rob Coridan,extends_existing_idea,True,False,,on_table_idea,"Rob elaborates on his high-altitude idea with a specific, creative example."
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She builds on the idea of diverse technologies by providing a specific geographical example.
2020NES,2020_11_05_NES_S1,Fateme Rezaei,critiques_or_challenges,True,False,,on_table_idea,Fateme suggests correcting a term on the shared slide to be more scientifically accurate.
2020NES,2020_11_05_NES_S1,Emily Ryan,returns_to_earlier_idea,False,False,,on_table_idea,She connects her question back to the earlier discussion about location-specific technologies.
2020NES,2020_11_05_NES_S1,Alissa Park,returns_to_earlier_idea,True,True,Rob Coridan,named_speaker,She references Rob's balloon idea from a previous chunk to illustrate a point about environmental impact.
2020NES,2020_11_05_NES_S1,Fateme Rezaei,extends_existing_idea,True,False,,on_table_idea,Fateme proposes adding a new dimension (benefit-cost analysis) to the framework they are building.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,combines_ideas,False,False,,on_table_idea,She combines DAC with urban air purification to address public acceptance.
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She reinforces the logic of the co-capture idea based on the energy required to move air.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,extends_existing_idea,True,False,,nearest_prior,Valentina draws an analogy to seawater processing to support the co-capture concept.
2020NES,2020_11_05_NES_S1,Alissa Park,returns_to_earlier_idea,True,True,Kristen Schell,named_speaker,Alissa brings back a point Kristen made earlier about the intermittent nature of DAC.
2020NES,2020_11_05_NES_S1,Alissa Park,synthesizes_contributions,False,False,,nearest_prior,She synthesizes the challenge of fluctuating inputs with the need for steady-state conversion.
2020NES,2020_11_05_NES_S1,Praveen Bollini,extends_existing_idea,True,True,Fateme Rezaei,named_speaker,Praveen builds on Fateme's idea by listing specific chemical conversion pathways.
2020NES,2020_11_05_NES_S1,Fateme Rezaei,raises_concern,True,False,,on_table_idea,Fateme highlights the engineering challenges of matching the low throughput of DAC with the requirements of conversion processes.
2020NES,2020_11_05_NES_S1,Rob Coridan,extends_existing_idea,True,False,,on_table_idea,Rob suggests a specific conversion pathway (solid carbon) that builds on the general conversion discussion.
2020NES,2020_11_05_NES_S1,Gary Moore,combines_ideas,True,False,,on_table_idea,Gary proposes combining passive capture materials with electrocatalytic conversion materials.
2020NES,2020_11_05_NES_S1,Christopher Gorski,raises_concern,True,False,,nearest_prior,Christopher notes the difficulty in comparing different electrochemical approaches energetically.
2020NES,2020_11_05_NES_S1,Ashleigh Baber,raises_concern,True,False,,on_table_idea,Ashleigh points out a specific chemical limitation of using her catalysts in a DAC context.
2020NES,2020_11_05_NES_S1,Alissa Park,synthesizes_contributions,True,True,Ashleigh Baber,named_speaker,Alissa synthesizes the overarching idea of combining capture and conversion with Ashleigh's specific constraint about catalyst selection.
2020NES,2020_11_05_NES_S1,Praveen Bollini,raises_concern,False,False,,on_table_idea,He points out the significant engineering challenges (pressure and hydrogen sourcing) required for downstream conversion.
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,False,False,,on_table_idea,She builds on the hydrogen constraint by applying it to the spatial placement of DAC units.
2020NES,2020_11_05_NES_S1,Alissa Park,combines_ideas,True,False,,on_table_idea,Alissa synthesizes the various conversion ideas into a broader question about merging different disciplinary approaches.
2020NES,2020_11_05_NES_S1,Fateme Rezaei,raises_concern,False,False,,on_table_idea,She immediately identifies a bottleneck (algae growth rate) that makes the integration difficult.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,extends_existing_idea,True,True,Fateme Rezaei,named_speaker,Valentina builds on Fateme's algae idea by suggesting it could be used to accelerate carbonate formation rather than just biofuels.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,raises_concern,True,False,,nearest_prior,Valentina notes the difficulty of studying and combining these processes due to instability.
2020NES,2020_11_05_NES_S1,Rob Coridan,synthesizes_contributions,True,False,,nearest_prior,Rob summarizes the group's previous discussion into a cohesive framework for their final report.
2020NES,2020_11_05_NES_S1,Kristen Schell,extends_existing_idea,True,True,Rob Coridan,named_speaker,Kristen adds a specific data need to the summary Rob just provided.
2020NES,2020_11_05_NES_S1,Alissa Park,extends_existing_idea,True,False,,on_table_idea,Alissa adds another specific data requirement (land usage) to the list for the report.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,returns_to_earlier_idea,True,False,,nearest_prior,Valentina brings back the smart sensor network idea discussed in earlier chunks.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,extends_existing_idea,False,False,,on_table_idea,She suggests adding specific atmospheric composition sensors to existing networks.
2020NES,2020_11_05_NES_S1,Alissa Park,returns_to_earlier_idea,True,True,Emily Ryan,named_speaker,Alissa explicitly returns to a point made by Emily earlier in the session regarding atmospheric models.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,extends_existing_idea,True,False,,on_table_idea,Valentina points out a spatial mismatch between where climate modelers place sensors and where DAC units might be deployed.
2020NES,2020_11_05_NES_S1,Valentina Prigiobbe,raises_concern,False,False,,on_table_idea,She raises a concern about the practical placement of sensors versus DAC infrastructure.
2020NES,2020_11_05_NES_S1,Alissa Park,synthesizes_contributions,True,False,,on_table_idea,"Alissa summarizes the key technical challenge discussed by the group, integrating different conversion pathways."
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,False,False,,nearest_prior,The speaker builds on the previous idea by connecting it to his own thoughts on scalable DAC.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,True,False,,on_table_idea,Matt builds on the previous discussion about distributed DAC by asking about the necessary infrastructure.
2020NES,2020_11_05_NES_S2,Chris Jones,critiques_or_challenges,True,True,Shu Hu,named_speaker,"Chris gently pushes back against Shu's idea of creating a roadmap, suggesting it might be too constraining."
2020NES,2020_11_05_NES_S2,Chris Jones,redirects_idea,False,False,,nearest_prior,He steers the group away from roadmapping and back toward unconstrained ideation.
2020NES,2020_11_05_NES_S2,Pratik Dholabhai,extends_existing_idea,False,False,,nearest_prior,He elaborates on his initial proposal of mineral carbonation by detailing the mechanism.
2020NES,2020_11_05_NES_S2,Chris Jones,synthesizes_contributions,True,True,Pratik Dholabhai,named_speaker,Chris summarizes Pratik's point and validates its importance to the field.
2020NES,2020_11_05_NES_S2,Jen Wilcox,extends_existing_idea,True,True,Pratik Dholabhai,named_speaker,Jen builds on Pratik's point about oxides by extending it from capture to conversion.
2020NES,2020_11_05_NES_S2,Jen Wilcox,combines_ideas,False,False,,on_table_idea,She explicitly links the material (oxides) to a dual function (capture and conversion).
2020NES,2020_11_05_NES_S2,Luisa Whittaker-Brooks,returns_to_earlier_idea,True,False,,on_table_idea,Luisa returns to the point she was making before the audio interruption.
2020NES,2020_11_05_NES_S2,Chris Jones,synthesizes_contributions,True,True,Luisa Whittaker-Brooks,named_speaker,Chris validates Luisa's point and synthesizes it into the broader conversation.
2020NES,2020_11_05_NES_S2,Jen Wilcox,extends_existing_idea,True,False,,on_table_idea,Jen builds on the storage topic by introducing the specific dimension of timescales.
2020NES,2020_11_05_NES_S2,Shu Hu,extends_existing_idea,True,True,Jen Wilcox,named_speaker,Shu builds on Jen's point about timescales to question whether they should focus on fuels or permanent mineralization.
2020NES,2020_11_05_NES_S2,Kelsey Hatzell,extends_existing_idea,True,False,,nearest_prior,Kelsey builds on the prior discussion of separation by suggesting the combination of thermal and electrical drivers.
2020NES,2020_11_05_NES_S2,Kelsey Hatzell,extends_existing_idea,True,True,Oana Luca,named_speaker,Kelsey builds on Oana's explanation by adding the perspective of interfacial energetics.
2020NES,2020_11_05_NES_S2,Jen Wilcox,raises_concern,True,False,,on_table_idea,Jen raises a practical concern about the interference of other gases like oxygen in real-world capture scenarios.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,critiques_or_challenges,False,False,,nearest_prior,She points out the energy penalty challenge of targeting ions.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,False,False,,on_table_idea,He builds on her question by flipping the perspective to air capture.
2020NES,2020_11_05_NES_S2,Matt Green,critiques_or_challenges,False,False,,nearest_prior,He points out a practical challenge with physisorption related to moving air.
2020NES,2020_11_05_NES_S2,Jared Mason,extends_existing_idea,True,True,Chris Jones,named_speaker,He builds on Chris's idea about engineering MOFs with weak binding sites.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,False,False,,nearest_prior,He extends the idea by specifying what the synergistic analysis would focus on.
2020NES,2020_11_05_NES_S2,Pratik Dholabhai,extends_existing_idea,False,False,,nearest_prior,He extends the idea by adding kinetic modeling to the thermodynamic analysis.
2020NES,2020_11_05_NES_S2,Kelsey Hatzell,extends_existing_idea,False,False,,nearest_prior,She extends the theory-experiment collaboration idea to the domain of complex gas mixtures.
2020NES,2020_11_05_NES_S2,Oana Luca,extends_existing_idea,False,False,,nearest_prior,She begins to build on the previous points before the video cuts off.
2020NES,2020_11_05_NES_S2,Oana Luca,extends_existing_idea,True,True,Matt Green,named_speaker,Oana builds on Matt's earlier point to discuss the thermodynamic goals of capture chemistry.
2020NES,2020_11_05_NES_S2,Matt Green,returns_to_earlier_idea,False,False,,on_table_idea,He explicitly returns to an earlier discussion point about the interface between capture and utilization.
2020NES,2020_11_05_NES_S2,Haotian Wang,extends_existing_idea,True,True,Matt Green,named_speaker,Haotian builds on Matt's point by proposing a specific approach: a single integrated device for capture and conversion.
2020NES,2020_11_05_NES_S2,Jen Wilcox,raises_concern,True,False,,on_table_idea,Jen raises significant practical concerns regarding infrastructure and the sourcing of hydrogen for conversion.
2020NES,2020_11_05_NES_S2,Matt Green,raises_concern,True,False,,nearest_prior,Matt raises a critical resource constraint concern regarding the water required for these processes at scale.
2020NES,2020_11_05_NES_S2,Jen Wilcox,redirects_idea,False,False,,on_table_idea,She steers the conversation back to the specific challenge of sourcing hydrogen.
2020NES,2020_11_05_NES_S2,Shu Hu,extends_existing_idea,True,True,Matt Green,named_speaker,He builds on Matt's suggestion of calculations by detailing exactly what parameters should be balanced.
2020NES,2020_11_05_NES_S2,Kelsey Hatzell,combines_ideas,False,False,,nearest_prior,She draws an analogy from her work in desalination to suggest combining electrolysis with another process to produce two valuable outputs.
2020NES,2020_11_05_NES_S2,Jen Wilcox,synthesizes_contributions,True,True,Kelsey Hatzell,named_speaker,She explicitly connects her point back to Kelsey's earlier concept of hybrid approaches.
2020NES,2020_11_05_NES_S2,Kelsey Hatzell,raises_concern,False,False,,on_table_idea,She identifies grid energy storage as a major bottleneck for the proposed DAC systems.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,extends_existing_idea,True,False,,on_table_idea,Katherine continues the previous discussion regarding the incompatibility of certain DAC systems with intermittent renewable energy sources.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,False,False,,on_table_idea,He builds on the energy source discussion by introducing geographical considerations for pairing DAC with solar.
2020NES,2020_11_05_NES_S2,Pratik Dholabhai,raises_concern,True,False,,nearest_prior,Pratik raises a concern about how fundamental researchers should account for commercialization costs when developing new technologies.
2020NES,2020_11_05_NES_S2,Matt Green,returns_to_earlier_idea,True,True,Katherine Hornbostel,named_speaker,Matt explicitly circles back to Katherine's earlier point about finding suitable energy sources for DAC.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,extends_existing_idea,False,False,,on_table_idea,She extends the idea of using offshore platforms to also include using decommissioned onshore power plants for their infrastructure.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,True,True,Katherine Hornbostel,named_speaker,Matt builds on Katherine's mention of decommissioned power plants by adding the specific advantage of existing water rights.
2020NES,2020_11_05_NES_S2,Jen Wilcox,extends_existing_idea,False,False,,on_table_idea,She synthesizes the data and the previous ideas to strongly advocate for using stranded natural gas assets to power DAC.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,extends_existing_idea,True,True,Jen Wilcox,named_speaker,She builds on Jen's point about stranded assets by detailing the specific technical synergies that make the integration advantageous.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,extends_existing_idea,True,False,,on_table_idea,Katherine briefly adds to the ongoing discussion about using alternative energy sources to power direct air capture.
2020NES,2020_11_05_NES_S2,Pratik Dholabhai,extends_existing_idea,False,False,,on_table_idea,He connects his knowledge of fuel cell waste heat to the group's ongoing discussion about powering DAC.
2020NES,2020_11_05_NES_S2,Jen Wilcox,raises_concern,True,False,,on_table_idea,Jen raises a significant practical and economic concern regarding the massive scale required for DAC.
2020NES,2020_11_05_NES_S2,Katherine Hornbostel,extends_existing_idea,True,True,Luisa Whittaker-Brooks,named_speaker,Katherine builds on Luisa's prompt by suggesting air quality scrubbing as an add-on to DAC.
2020NES,2020_11_05_NES_S2,Shu Hu,extends_existing_idea,True,True,Luisa Whittaker-Brooks,named_speaker,Shu builds directly on Luisa's prompt to consider non-CO2 gases by proposing methane.
2020NES,2020_11_05_NES_S2,Shu Hu,connects_methods,False,False,,on_table_idea,He explicitly connects a traditional chemical engineering process (dry reforming) to the DAC framework.
2020NES,2020_11_05_NES_S2,Matt Green,extends_existing_idea,True,False,,on_table_idea,Matt continues the brainstorm on non-CO2 gases by suggesting SO2.
2020NES,2020_11_05_NES_S3,Jenny Yang,extends_existing_idea,True,True,Phil Milner,named_speaker,Jenny builds on Phil's idea by suggesting a specific chemical mechanism (reversible redox couples).
2020NES,2020_11_05_NES_S3,Jenny Yang,extends_existing_idea,True,False,,on_table_idea,"Jenny points out an unexplored area regarding redox active nucleophiles, extending the current topic of discussion."
2020NES,2020_11_05_NES_S3,Burcu Gurkan,raises_concern,False,False,,on_table_idea,Identifies a specific technical challenge (viscosity) with the proposed ionic liquid system.
2020NES,2020_11_05_NES_S3,Phil Milner,extends_existing_idea,True,True,Jenny Yang,named_speaker,Connects Jenny's concept of 'jumping off the line' directly to his proposed nitrogen-based solution.
2020NES,2020_11_05_NES_S3,David Kwabi,synthesizes_contributions,False,False,,nearest_prior,Summarizes the proposed chemical mechanism to ensure shared understanding.
2020NES,2020_11_05_NES_S3,Phil Milner,raises_concern,False,False,,nearest_prior,Identifies potential chemical vulnerabilities with the proposed imine system.
2020NES,2020_11_05_NES_S3,Jeffrey Long,redirects_idea,False,False,,on_table_idea,Shifts the group's focus from thermodynamic properties to kinetic and transport limitations.
2020NES,2020_11_05_NES_S3,Fik Brushett,extends_existing_idea,True,True,Jeffrey Long,named_speaker,Builds immediately on Jeffrey's point by adding transport to the list of limitations.
2020NES,2020_11_05_NES_S3,Phil Milner,extends_existing_idea,True,True,Xiao Su,named_speaker,Connects Xiao's solid matrix idea to his own expertise in Metal-Organic Frameworks (MOFs).
2020NES,2020_11_05_NES_S3,Fik Brushett,connects_methods,False,False,,on_table_idea,Explicitly bridges fuel cell engineering methods to the current CO2 capture challenge.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,extends_existing_idea,False,False,,on_table_idea,Suggests adding hierarchical porosity to the MEA design to solve the transport issue.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,connects_methods,False,False,,on_table_idea,Connects the concept of catalytic spillover from heterogeneous catalysis to the current transport problem.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,extends_existing_idea,False,False,,on_table_idea,Applies the spillover concept to concentrate CO2 before passing it through the membrane.
2020NES,2020_11_05_NES_S3,Fik Brushett,synthesizes_contributions,True,True,Andrew Teixeira,named_speaker,Connects Andrew's transport idea back to the selectivity problem raised earlier by Jenny and Phil.
2020NES,2020_11_05_NES_S3,Will Bowman,extends_existing_idea,False,False,,on_table_idea,Clarifies the functional goal of his proposed material.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,combines_ideas,True,True,Will Bowman,named_speaker,Combines Will's nanoparticle idea with the earlier discussion of molecular sieves to control selectivity.
2020NES,2020_11_05_NES_S3,Jimmy Jiang,combines_ideas,False,False,,on_table_idea,Combines the capture and conversion steps into a dual-site molecular design.
2020NES,2020_11_05_NES_S3,Jimmy Jiang,synthesizes_contributions,True,True,Phil Milner,named_speaker,Builds directly on Phil's earlier proposal regarding quinones and imines.
2020NES,2020_11_05_NES_S3,Jeffrey Long,synthesizes_contributions,True,True,Fik Brushett,named_speaker,Jeff connects Jimmy's idea back to a concept Fik raised earlier.
2020NES,2020_11_05_NES_S3,Phil Milner,raises_concern,False,False,,on_table_idea,He expresses doubt about the feasibility of the approach for direct air capture.
2020NES,2020_11_05_NES_S3,Jeffrey Long,critiques_or_challenges,False,False,,on_table_idea,He challenges the feasibility of using membranes for direct air capture based on concentration gradients.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,extends_existing_idea,False,False,,on_table_idea,He builds on the membrane discussion by suggesting an alternative mechanism (metallic membranes).
2020NES,2020_11_05_NES_S3,Xiao Su,extends_existing_idea,True,True,Jenny Yang,named_speaker,Xiao builds on Jenny's idea by suggesting the selective separation of the carbonate before use.
2020NES,2020_11_05_NES_S3,David Kwabi,extends_existing_idea,True,False,,nearest_prior,David extends the carbonate discussion by suggesting precipitation into a useful solid like building materials.
2020NES,2020_11_05_NES_S3,David Kwabi,extends_existing_idea,True,False,,nearest_prior,David pushes the idea further by asking for materials beyond just cement.
2020NES,2020_11_05_NES_S3,David Kwabi,critiques_or_challenges,False,False,,nearest_prior,He evaluates the economic viability of targeting cement.
2020NES,2020_11_05_NES_S3,Jesus Velazquez,extends_existing_idea,True,True,Burcu Gurkan,named_speaker,Jesus builds on Burcu's encapsulation idea by suggesting heterostructured materials.
2020NES,2020_11_05_NES_S3,Jesus Velazquez,combines_ideas,False,False,,on_table_idea,He connects his knowledge of conversion heterostructures to the group's goal of capture.
2020NES,2020_11_05_NES_S3,Fik Brushett,extends_existing_idea,True,False,,on_table_idea,Fik explicitly builds on the encapsulation concept to propose nanoemulsions.
2020NES,2020_11_05_NES_S3,Fik Brushett,extends_existing_idea,False,False,,nearest_prior,He further elaborates on how the mechanism would function.
2020NES,2020_11_05_NES_S3,Burcu Gurkan,extends_existing_idea,True,True,Fik Brushett,named_speaker,Burcu builds on Fik's cabin capture idea by specifying the material requirements for that environment.
2020NES,2020_11_05_NES_S3,Fik Brushett,redirects_idea,True,False,,on_table_idea,Fik reframes the discussion to consider intermediate CO2 concentrations rather than just the extremes of flue gas or direct air capture.
2020NES,2020_11_05_NES_S3,Xiao Su,synthesizes_contributions,True,False,,on_table_idea,Xiao successfully integrates the various divergent ideas raised over the session into cohesive thematic categories.
2020NES,2020_11_05_NES_S3,Andrew Teixeira,synthesizes_contributions,True,False,,on_table_idea,Andrew summarizes a major theme from the earlier discussion.
2020NES,2020_11_05_NES_S3,David Kwabi,synthesizes_contributions,True,False,,on_table_idea,David synthesizes another major theme from the session.
2020NES,2020_11_05_NES_S3,Fik Brushett,combines_ideas,True,False,,on_table_idea,Fik proposes merging several distinct engineering ideas into a single category.
2020NES,2020_11_05_NES_S3,Jeffrey Long,synthesizes_contributions,False,False,,on_table_idea,Jeff proposes a specific phrasing for the synthesized bullet.
2020NES,2020_11_05_NES_S3,Fik Brushett,extends_existing_idea,True,False,,on_table_idea,Fik refines Jeff's phrasing to include electrolytes.
2020NES,2020_11_05_NES_S3,Jeffrey Long,extends_existing_idea,False,False,,on_table_idea,Jeff offers another variation on the phrasing.
2020NES,2020_11_05_NES_S3,Jeffrey Long,synthesizes_contributions,False,False,,nearest_prior,Jeff confirms that the chosen phrasing effectively summarizes their prior ideation.
2020NES,2020_11_05_NES_S3,Jesus Velazquez,raises_concern,True,False,,nearest_prior,Jesus expresses doubt about whether his topic fits the group's limited list.
2020NES,2020_11_05_NES_S3,Jesus Velazquez,returns_to_earlier_idea,True,False,,on_table_idea,Jesus brings back his earlier idea about multifunctional materials.
2020NES,2020_11_05_NES_S3,Fik Brushett,combines_ideas,True,True,Jesus Velazquez,named_speaker,Fik creatively integrates Jesus's topic into an already accepted bullet point.
2020NES,2020_11_05_NES_S3,Fik Brushett,resolves_contradiction,True,True,Jesus Velazquez,named_speaker,Fik resolves the tension between keeping the list short and including Jesus's idea.
2020NES,2020_11_05_NES_S3,Xiao Su,synthesizes_contributions,True,False,,on_table_idea,Xiao maps the three final bullets to distinct disciplinary domains.
2020NES,2020_11_05_NES_S3,Burcu Gurkan,extends_existing_idea,True,False,,nearest_prior,Burcu ensures that degradation is explicitly included in the chemistry bullet.
2020NES,2020_11_05_NES_S4,Sen Zhang,extends_existing_idea,True,True,Charles McCrory,named_speaker,Sen builds on Charles's nitrogen focus by suggesting downstream transformations.
2020NES,2020_11_05_NES_S4,Marta Hatzell,extends_existing_idea,True,True,Charles McCrory,named_speaker,Marta proposes an alternative pathway to the nitrogen transformations discussed by Charles and Sen.
2020NES,2020_11_05_NES_S4,Marta Hatzell,critiques_or_challenges,True,False,,on_table_idea,Marta questions the assumption that ammonia should be the primary target for all uses.
2020NES,2020_11_05_NES_S4,Michael Nippe,extends_existing_idea,True,True,Chong Liu,named_speaker,Michael builds directly on Chong's idea of using electrochemistry with enzymes by specifying the generation of cofactors.
2020NES,2020_11_05_NES_S4,Katie Knowles,extends_existing_idea,True,True,Speaker 1,on_table_idea,Directly builds on the previous speaker's idea to expand its scope.
2020NES,2020_11_05_NES_S4,Adam Holewinski,extends_existing_idea,False,False,,on_table_idea,Explicitly states his intention to build on the ongoing discussion.
2020NES,2020_11_05_NES_S4,Carlos Morales-Guio,extends_existing_idea,False,False,,nearest_prior,Adds specific chemical targets to the previously discussed idea.
2020NES,2020_11_05_NES_S4,Charles McCrory,extends_existing_idea,False,False,,nearest_prior,Validates and builds upon the points made by the previous two speakers.
2020NES,2020_11_05_NES_S4,Katie Knowles,synthesizes_contributions,False,False,,nearest_prior,Synthesizes the previous points into a concise summary of the target processes.
2020NES,2020_11_05_NES_S4,Adam Holewinski,raises_concern,False,False,,on_table_idea,Raises a concern about the overall impact of targeting single commodity chemicals.
2020NES,2020_11_05_NES_S4,Charles McCrory,extends_existing_idea,True,True,Adam Holewinski,named_speaker,Builds on Adam's point about stats and impact by introducing polymers.
2020NES,2020_11_05_NES_S4,Adam Holewinski,extends_existing_idea,False,False,,on_table_idea,Extends the polymer idea by suggesting a specific indirect route via biomass.
2020NES,2020_11_05_NES_S4,Charles McCrory,extends_existing_idea,False,False,,on_table_idea,Adds another specific chemical pathway to the ongoing list.
2020NES,2020_11_05_NES_S4,Charles McCrory,extends_existing_idea,True,False,,nearest_prior,Charles continues the previous discussion on specific chemical intermediates.
2020NES,2020_11_05_NES_S4,Sen Zhang,extends_existing_idea,True,False,,nearest_prior,Sen expands the idea of polymer building blocks to include reduction for fuel generation.
2020NES,2020_11_05_NES_S4,Wilson Smith,extends_existing_idea,False,False,,on_table_idea,He builds on the life cycle discussion by introducing the mode of operation and scale as key factors.
2020NES,2020_11_05_NES_S4,Chong Liu,extends_existing_idea,True,True,Wilson Smith,named_speaker,Chong builds on Wilson's point about flexibility by adding the dimensions of time and location for chemical usage.
2020NES,2020_11_05_NES_S4,Charles McCrory,extends_existing_idea,True,True,Marta Hatzell,named_speaker,Charles builds on Marta's framing by suggesting a focus on universal methodology rather than specific molecules.
2020NES,2020_11_05_NES_S4,Charles McCrory,resolves_contradiction,False,False,,nearest_prior,"He resolves the tension between scale and feasibility by arguing that small, feasible changes can have a large aggregate impact."
2020NES,2020_11_05_NES_S4,Katie Knowles,extends_existing_idea,True,True,Charles McCrory,named_speaker,Katie builds on Charles's idea of universal methodology by proposing the development of a universal electrode.
2020NES,2020_11_05_NES_S4,Wilson Smith,extends_existing_idea,False,False,,on_table_idea,He extends the discussion on system design by emphasizing the importance of integrating with existing efficient processes.
2020NES,2020_11_05_NES_S4,Charles McCrory,combines_ideas,True,False,,on_table_idea,Charles combines the idea of electrochemical feedstock synthesis with biological enzymatic systems.
2020NES,2020_11_05_NES_S4,Charles McCrory,synthesizes_contributions,True,True,Katie Knowles,named_speaker,"He explicitly synthesizes points made by Katie, Wilson, and Michael to propose a unified approach."
