link to video,timestamp,speaker,transcript,annotations,c1,c1-vf,c1-ep,c2,c2-vf,c2-ep,c3,c3-vf,c3-ep,c4,c4-vf,c4-ep,notes1,notes2
,00:25-00:59,Dimitar Sasselov,"Yeah, but could we have a specific kind of crazy idea where some chemists talk to some geophysicists and geochemists and say, hey, why don't we try this or that and see how it would work where this very different time scales can be linked either in the lab or in the model or both.","{'propose decision': {'Explanation': ""Dimitar proposes a specific idea for the group to come up with a 'crazy idea' that links different time scales in the lab or model, building on the previous discussion about the challenges of linking time scales in prebiotic chemistry.""}, 

'encourage particpatioin': {'Explanation': 'Dimitar encourages chemists, geophysicists, and geochemists to collaborate and come up with a specific idea, inviting them to contribute to the discussion.'}}",propose decision,Agree,,encourage particpatioin,Agree,,,,,,,,"i will add ""encourgae participation""; 
need to more clearly define what is considered as a ""choice"" for suggest decision",
https://www.dropbox.com/scl/fi/bq1bnob1477mlaw8dqg4h/bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45_chunk2.mp4?rlkey=zdcgy2u4puy5lmnjkah469eua&st=18dl9dtf&dl=0,01:44-02:18,Natasha Batalha,"And so um, I feel like to to develop a statistical framework requires actually like defining a very focused question in the beginning. And so the questions that I wrote down were just like very basic like what is the fraction of planets that have oxidized versus reduced atmospheres or um, you know, what is the fraction of planets that have compositions that that deviate from chemical equilibrium. Um, I don't know if those like types of those types of questions would get more at the what is the diversity of atmospheres instead of saying like is there oxygen or not.","{'present new idea': 'Natasha introduces the idea of focusing on broader questions about planetary atmospheres, such as the fraction of planets with oxidized versus reduced atmospheres, instead of solely searching for specific molecules like oxygen, which is a novel concept not previously mentioned.', 

'expand on existing idea': 'Natasha expands on the idea of defining a focused question by providing examples of basic questions related to the diversity of atmospheres, building upon the previous discussion about sample sizes and atmospheric parameters.', 

'propose decision': ""Natasha proposes focusing on broader questions about planetary atmospheres, such as the fraction of planets with oxidized versus reduced atmospheres, instead of solely searching for specific molecules like oxygen, suggesting a concrete choice for the group's research direction.""}",present new idea,Agree,,expand on existing idea,Agree,thats right she expanded on her existing idea,propose decision,Agree,,,,,i will add "expand existing idea" i missed the point that this code also applies if one expans on their idea,
,09:16-10:00,Lisa Kaltenegger,"I think because Daniel was doing the devil's advocate, I'm just going to do the other way around. It's like 51 peg was one planet and it completely blew open our understanding of what planets could be like and completely revised what we thought. So I think there's a space for both. So I agree. But um one of the things that you all had mentioned that I I kind of think is something that the community in general we haven't thought that much about and I I get, you know, that we want to say uh what do you need for life? What do you need, you know, how robust the biosignatures and so on. But I think in this specific um uh breakout session, I think what what what fascinated me by the idea is this idea what what can we do, you know, with five, with 10, with 500, with a thousand, we'll all be different.","[{'provide supporting evidence': ""Lisa uses the example of 51 Pegasi to support the idea that even a single planet can revolutionize our understanding of planets, contrasting Daniel's point about the Viking landers."", 

'express agreement': 'Lisa explicitly agrees that there is space for both approaches (small and large samples), indicating agreement with the previous discussion.', 

'expand on existing idea': 'Lisa expands on the discussion by highlighting the importance of considering what can be achieved with different sample sizes (5, 10, 500, 1000 planets), building on the previous discussion about sample sizes and research questions.'}]",provide supporting evidence,Agree,i missed this when i was coding,express agreement ,Agree,,expand on existing idea,Agree,,,,,i will add "provide supporting evidence" i missed that when coding myself,
,08:32-09:15,Daniel Apai,"Let me maybe just make a counter point and agree a bit with Nicole but make a bit of a counter point to the starting with very small sample. And I think one example for how that approach can completely fail would be the Viking landers that went to Mars and uh relatively simple but ambitious experiment that did not significant interesting, but it did basically what it found or what it was not finding life was actually cutting all the excitement out of uh of Mars exploration.","{'express alternative decision': {'Explanation': 'Daniel is expressing an alternative decision by making a counterpoint to the idea of starting with a very small sample size, suggesting it might not be the best approach.'}, 

'provide supporting evidence': {'Explanation': ""Daniel provides supporting evidence for his counterpoint by referencing the Viking landers' mission to Mars as an example of how starting with a small sample and a specific approach can lead to negative outcomes.""}}",express alternative decision,Agree,i didn'tsee this code when coding but it totally makes sense,provide supporting evidence,Agree,,,,,,,,i will change my "expand existing idea" to "alternative decision",
https://www.dropbox.com/scl/fi/gosrdi972gga3rzd83a91/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk1.mp4?rlkey=sg58lj24twa1dscnpoy1or5im&st=20pe9jmw&dl=0,06:35-07:05,Daniel Apai (Univ Arizona),"And so I think it's also a good idea if you identify specific contributions from beyond astronomy, beyond this group, uh to take notes of those and then uh be able to seek out additional input team up with uh the appropriate experts beyond uh this group. Actually there's one more thing we have to do is to find a volunteer who will record the discussion and report back to the main room.","{'assign task': 'Daniel Apai is assigning the task of finding a volunteer to record the discussion and report back to the main room, which is a necessary logistical step for the meeting.', 

'propose decision': 'Daniel Apai is suggesting that the group identify specific contributions from beyond astronomy and take notes of those, which is a suggestion for how to approach the discussion.'}",assign task,Agree,i think this is correct too; but i also think it is encouraging participation,propose decision,Agree,,,,,,,,,
,05:04-05:25,Daniel Apai (Univ Arizona),"Thank you all. I think maybe I just briefly I did an introduction from my side, so I'm Daniel from the University of Arizona. Um I work on a variety of topics related to exoplanets searches, characterization, um methods to find planets and characterize them and characterization of plant formation and atmospheres.","{'explain or define term or concept': 'Daniel Apai introduces himself and his research interests, which serves to explain his background and expertise to the group.', 

'acknowledge contribution': 'Daniel Apai thanks everyone for their introductions, acknowledging their participation.'}",explain or define term or concept,Disagree,i think gemini is forcing a code here; should just be self-introduction (which does not fit the code's definition),acknowledge contribution,Agree,true "thank you all" could be considered as such ,,,,,,,maybe i will add "acknowledge contribution",
,06:14-06:35,Daniel Apai (Univ Arizona),"Um I think that that's something good to keep in mind that we are in the second day, so it's maybe also a good idea to try to think potentially in hypothesis that could be tested, a project that you could team up to to explore and then also as we have seen in the team yesterday in a similar group setting, there were questions that went beyond the expertise of the group.","{'encourage particpatioin': ""Daniel Apai encourages the group to think about testable hypotheses and projects they could team up to explore, building on the previous day's discussions."", 

'propose decision': 'Daniel Apai suggests that the group should think about testable hypotheses and projects they could team up to explore.'}",encourage particpatioin,Agree,,propose decision,Agree,,,,,,,,i think "encourage participation" could apply here as well,
https://www.dropbox.com/scl/fi/usyppxmxkydac1kgvuphv/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk5.mp4?rlkey=0baaakhix0bipdffpyxcsegh9&st=lnhy3vy6&dl=0,02:27-02:43,Daniel Apai,"Yeah, and certainly for nearby brown dwarfs within a couple of parsecs, uh there were detections directly of uh Aurora radio emission, synchrotron emission basically from being channeled by the magnetic field of the brown dwarfs and so that those are basic Jupiter sized objects relatively nearby. So.","{'provide supporting evidence': 'Daniel Apai provides evidence of aurora radio emission and synchrotron emission from nearby brown dwarfs, supporting the discussion about magnetic fields and their effects on exoplanets.'}",provide supporting evidence,Agree,,,,,,,,,,,,
,00:18-01:20,SMADAR NAOZ,"I want to say and relate to Kepler 444 and that we have an analytical criteria that tells us when or where I can hide another companion as big as I want and as inclined as I want. Um, and um, just looking in by eye, I didn't do that. I didn't plug it into the script. But um, I think it it fits, right? It makes sense because otherwise something gone wrong with gravity. So I think that we can predict very nicely giving um, giving a a um, you know, a system of a multi planet of a multi planet rocky planets, um, where or if they can hide um another giant and predict to to try to look for it.","{'present new idea': 'Smadar introduces the idea of using an analytical criteria to determine where a companion planet can be hidden within a multi-planet system, which has not been previously discussed.', 

'expand on existing idea': 'Smadar expands on the discussion about Kepler 444 by relating it to their analytical criteria for predicting the location of hidden companions in multi-planet systems.', 

'propose decision': 'Smadar proposes using their analytical criteria to predict where hidden giant planets might exist in multi-planet systems like Kepler 444, suggesting a direction for future research.'}",present new idea,Agree,,expand on existing idea,Agree,,propose decision,Agree,,,,,"honestly these three codes are very similar and hard to draw the lines between them (present new idea, propose decision, expand on existing idea)",
,08:14-09:17,Coco Zhang,"So I'm very interested in the water idea, so I'm pretty biased. But I was wondering like is anything we can do some simple hypothesis. So say, um, like Leslie said we put giant planets at different locations and we say well be the inner planet water content based on current mass radius estimation to put some constraint about the limit um the dry word rocky word versus water word and also combine with disc observation say if you have some large pressure type to see some substructures in the outer disc and JWST can observe many discs with inner water content and make a correlation between the final product and the formation uh stage the water content in the inner region.","{'present new idea': 'Coco presents a new idea to formulate a simple hypothesis about the inner planet water content based on giant planet locations, mass-radius estimations, disc observations, and JWST data.', 

'expand on existing idea': 'Coco expands on the water idea, which was previously mentioned by other participants, by suggesting a specific hypothesis to test.', 

'propose decision': 'Coco proposes a decision to formulate a hypothesis and use observations to constrain the water content of inner planets based on giant planet locations and disc properties.', 

'provide supporting evidence': ""Coco mentions JWST's ability to observe discs with inner water content, providing observational support for the proposed hypothesis.""}",present new idea,Agree,,expand on existing idea,Agree,,propose decision,Agree,,provide supporting evidence,Agree,,i will add "provide supporting evidence",
https://www.dropbox.com/scl/fi/3ny0ypjm5x0ilbkquhuho/B1_Zoom_Meeting_Room_1_2021_10_01_13_12_04_chunk3.mp4?rlkey=hcddyi3dw8igdt1hk87s8sfis&st=cfgcm7jg&dl=0,00:00-00:28,Mark Wilber,"said like they have these traits and they're consistently maintenance species or reservoir species kind of through space and time. Um but there's other situations kind of like Pilar was saying where you have so much variability in the components of what makes a reservoir species, whether it's ecological context or you know competence that when you look at surveillance in like say like northern Minnesota versus southern Minnesota like that reservoir status might change. Um and so recognizing that you kind of have this this balancing act that you got to play.","{'expand on existing idea': ""Mark expands on the idea of aggregating species into functional groups for surveillance, building on Sara's point about certain hosts tending to be reservoirs for certain pathogens and Mike's question about looking at higher levels of species groups."", 

'provide supporting evidence': 'Mark provides supporting evidence by mentioning emerging work on the ecological side that is thinking more about maintenance functional groups and how ecological context can change that.', 

'acknowledge contribution': ""Mark acknowledges Pilar's contribution by referencing her point about variability in the components of what makes a reservoir species.""}",expand on existing idea,Not sure,no access to previous conversation so i am not sure whether this is an expansion,acknowledge contribution,Agree,,provide supporting evidence,Agree,agree; his mention of examples of how reservoir changes in norther and souther minnesota could be considered as evidence,,,,I would add "provide supporting evidence",
,06:36-07:24,Pilar Fernandez,"No, this is a great aspect and I I would consider myself a modeler either. Um, I kind of although on the basis. Um, but I I would say, yeah, that that anything depends on how we define that and we can have different aspects going into it. It doesn't have to be like one main trade but it's like, okay, this component, how do we interact with this? It's it's going to be a human um density in um different environments.","{'acknowledge contribution': {'Explanation': 'Pilar acknowledges Chuck\'s contribution by saying ""this is a great aspect"", recognizing the value of his input regarding the likelihood of interaction with people.'}, 

'expand on existing idea': {'Explanation': 'Pilar expands on the existing idea of considering zoonotic aspects by discussing the functional aspect of host density and proximity to humans in different environments, building upon the previous discussion about including the likelihood of interaction with people.'}}",acknowledge contribution,Not sure,sound is crackled so didn't hear this,expand on existing idea,Agree,,,,,,,,"again, hard to judge what is ""new"" and what is ""expansion""",
,01:22-02:26,Pilar Fernandez,"Um so for example there was a a recent paper from like they analyzed the potential of like carnivores sorry group to be reservoirs for zonatic diseases and I think there's a lot packed in that paper. I really appreciate it, but also we're including synantropic animals, domestic animals because we're going from like dogs to raccoons to maybe foxes and those are functionally are going to be very different type of hosts.","[{'provide supporting evidence': 'Pilar mentions a recent paper analyzing carnivores as reservoirs for zoonotic diseases, providing a reference to support the discussion on grouping species.', 

'offer constructive criticism': 'Pilar critiques the paper for including functionally different hosts like synantropic and domestic animals, suggesting a need for more nuanced categorization.'}]",provide supporting evidence,Agree,,offer constructive criticism,Disagree,i think she is more comparing what the group needs to do to that paper,,,,,,,"do we need to specify the receiver of certain codes to make it more concrete? for example, offer criticism, should we only focus on criticism towards the group members (instead of other published papers)?",
https://www.dropbox.com/scl/fi/ispuhayq3ka376e6191qa/B3_2021_10_01_11_04_47_chunk4.mp4?rlkey=he1tq3f809458u6bvpemy8y97&st=7gxph4f9&dl=0,04:16-04:34,Crystal Hepp,"Um but then you know, the mosquito will go up and it'll it'll um nectar feed and they were actually able to get some of the virus out of those out of those wicks. And so maybe if you could have a color change when the virus was was um, you know, when it came out of the salivary glands and into the wick and there was a color change in the wick, that might be very interesting.","{'expand on existing idea': ""Crystal is expanding on Peter's idea of genetically modified plants that change color in response to environmental stimuli, suggesting a similar approach with mosquito nectar feeding and color-changing wicks to detect viruses."", 

'present new idea': ""Crystal presents a new idea of using color-changing wicks in mosquito nectar feeding stations to detect viruses, which hasn't been discussed before."", 'express enthusiasm': ""Crystal expresses enthusiasm for the idea of a color change in the wick indicating the presence of a virus, stating that it 'might be very interesting'.""}",expand on existing idea,Agree,,present new idea,Agree,,,,,,,,"""idea"" vs ""decision""",
,00:47-03:56,Peter Dorhout,"So, are there um, I'm coming at this from the point of view of a chemist, so I'm I'm mainly ignorant in the area, but um, I I was aware that there have been genetic modifications to plant species, for example, that will respond to environmental stimuli by changing color. You've got a um, uh, a a chemical species that exists in that environment and that causes the plant to change color and in irreversible way. Um, or or express itself with a color in an irreversible way. Um, some of that research goes back to uh, Dira project that was very interested in looking at weapons of mass destruction and the presence of of uh controlled chemical species. So think Sarin, think um, uh chemical stimuli like that that uh, these plants could act as a passive sentinel and express a color change if there happens to be and relatively quickly by the way, uh, if there happens to be the presence of a chemical uh agent like that. Um, lots of things to consider in terms of of concentration of of the the the the molecule you're trying to detect. Uh, this is not this is not natural for plants to necessarily do this, so it's a bit of a genetic engineering into a plant species that could express this uh um, this response. But are there are there things that vectors could ex would express as molecular um uh uh molecular expressions that's a terrible sentence. But hopefully you're following where I'm going, but do ticks and um, mosquitoes express chemical agents um, when they are carrying a particular um disease as the host or as the vector I should say. Um, or or what about something that is the um really the um the well for a disease that is not the vector but exists as you know, that's the natural state of the disease, a vector takes it from animal A and brings it to animal B through a um, you know, a tick bite or mosquito um harvesting of blood. Uh, but are there chemical signals that are expressed by species uh that that could ness could be somehow sensed in a in a passive way.","[{'present new idea': 'Peter introduces the idea of using genetically modified plants as passive sentinels to detect chemical species, drawing an analogy to detecting weapons of mass destruction, which is a novel concept in the context of the discussion.'}, 

{'ask clarifying question': 'Peter asks if vectors like ticks and mosquitoes express chemical agents when carrying a disease, or if there are chemical signals expressed by species that could be sensed passively, seeking to understand the potential for similar detection methods in disease surveillance.'}]",present new idea,Agree,,ask clarifying question,Agree,,,,,,,,,
,00:00-00:28,Becky Smith,"on uh potential EDNA approaches, which are a possibility. Um, they're not real time because it does take time to to extract the DNA, but um, it's a possibility for sensors for we're using them potentially for ticks and to think about vectors, smaller creatures, uh, potentially fecal pathogens and small mammals if you can, if you can get the right EDNA sample.","{'expand on existing idea': ""Becky Smith is expanding on the discussion of sensors and surveillance by introducing environmental DNA (eDNA) approaches as a possibility for organisms that cannot wear sensors, building on Brenda Rubenstein's question about non-wearable sensors."", 

'provide supporting evidence': 'Becky Smith provides supporting evidence for the use of eDNA approaches by mentioning their potential application for ticks, vectors, fecal pathogens, and small mammals, suggesting practical uses for this method.', 

'explain or define term or concept': 'Becky Smith explains the concept of eDNA approaches in the context of surveillance, clarifying that it involves extracting DNA, although it is not real-time.'}",expand on existing idea,Not sure,no prior context to know,provide supporting evidence,Agree,,explain or define term or concept,Agree,,,,,,
https://www.dropbox.com/scl/fi/1uov1a9fifj4cffy0tqdb/B3_2021_10_01_11_04_47_chunk10.mp4?rlkey=02mriy7nhtl8oa3o4glyhlbu7&st=nlxyg79h&dl=0,02:25-03:34,Linda Detwiler,"Um and and this is kind of in reference to, you know, in areas where you've got a university or you've got a big city, you tend to have a whole lot of surveillance going around in a very limited scope around those locations. But then you've got the rest of the world that maybe isn't getting nearly enough surveillance, you know, effort going into them. So are there ways we can model the best optimized surveillance networks to get the best bang for our buck. Um we we talked about the possibility of having universal assays of pathogens that we can use in many, many different systems. So you don't have to reinvent the wheel, you can use the same assays across diverse systems, um using variable tech.","{'expand on existing idea': 'The speaker is expanding on the discussion of technologies for surveillance by mentioning variable tech, building on the previous discussion about sensors and tools.', 

'propose decision': 'The speaker proposes exploring ways to model and optimize surveillance networks to maximize efficiency, suggesting a concrete choice for the group to consider.', 

'present new idea': 'The speaker introduces the idea of using universal assays for pathogens across different systems, which is a novel concept not previously mentioned in this specific discussion.'}",expand on existing idea,Disagree,linda did not speak,propose decision,Disagree,,present new idea,Disagree,,,,,,
