folder,file,speaker,timestamp,transcript,speaking duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interuption,overlap,screenshare,screenshare_content,annotations
2021ABI/output_2021_05_20_ABI_S4,bot2p2_Zoom_Meeting_2021_05_20_12_37_07/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json,Lu Wei Caltech,00:41-02:45,"Right, yeah, so I I'm more of imaging than AI. I'm here actually um trying to learn some um questions or or abilities for AI that could help us to interpretate uh imaging and do imaging segmentation. So um I'm new to the AI field. We're trying to adopting uh different networks for um um training and uh one part of the research in my lab is we do uh label free imaging um such that there's um a ton of uh images but not so much specific contrast. So we're trying to use an AI to allow us to uh do specific imaging. Um so I guess the question I have is uh there are a lot of different networks out there. Um well with with or specifically with very fine um um um differences. Um but there's not much of the benchmark um to allow us to compare um unless we're trying to use our own data to train it and then um to compare with of course different uh um um basically to adopt each of the techniques and compare it with our own data. Um before that there's really no way to know specifically what would be the best candidate for us. Um and also another thing um related to um I guess the uh um um validity of the interpretation is uh what kind of signal noise ratios do we need as both training set and also the prediction set and um is there any uh limitations on resolutions um that we should be aware of um before we do the um training. So so I guess I'm here more of to uh looking to the possibilities and asking questions then then providing some of the insights. Sorry about that.",124,0,10,1,0,Open Palms,No,No,No,None,"[{'explain or define term or concept': 'Lu Wei explains that they are more focused on imaging but are trying to learn about AI to help with image interpretation and segmentation, clarifying their background and goals.'}, {'ask clarifying question': 'Lu Wei asks about the lack of benchmarks for comparing different AI networks and the required signal-to-noise ratios and resolution limitations for training and prediction sets, seeking guidance on AI model selection and training parameters.'}, {'encourage particpatioin': 'Lu Wei states that they are there to ask questions and learn, inviting others to provide insights based on their expertise.'}]"
2021ABI/output_2021_05_20_ABI_S4,bot2p2_Zoom_Meeting_2021_05_20_12_37_07/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json,Maryellen Giger UChicago,03:43-04:56,"You know, you'll read the papers it was for this task with this database, maybe from different institutions, but it's just the the needle in a in a big haystack of all the other questions going on in medicine and biology. Um, but we can but many of the techniques, many of the metrology, the way to evaluate them, you know, how do you get around ground truth? Those I think there's um, I don't want to say a menu, but there is I think a short list and for me, um, though I have a lot of things that I would like in the world, I would like everyone to have access to this really clear short list of how how do I do all these things. Um, oh one of the things um I I don't want to forget before time goes by is we should look at bullet number two. And to me can can we extend our AI pipeline so it's very long, so it starts with acquisition, starts with the patient. In fact, someone thing by us is called closed loop imaging where this is that this is the what the patient needs, the patient gets it all the way to getting it and then doing the interpretation. To me that's you have to extend your AI to go through that entire pipeline.",73,0,0,0,0,Open Palms,No,No,No,None,"[{'explain or define term or concept': 'The speaker is explaining the concept of an AI pipeline and how it can be extended to include the entire process from patient acquisition to interpretation, which is meant to clarify the scope of AI in imaging.'}, {'propose decision': 'The speaker proposes that the AI pipeline should be extended to start with acquisition and the patient, suggesting a concrete choice for the group to consider.'}]"
2021MZT/output_2021_10_01_MZT_S1,B1.2_Zoom_Meeting_Room_1_2021_10_01_11_07_45/B1.2_Zoom_Meeting_Room_1_2021_10_01_11_07_45.json,Silvie Huijben,00:38-01:11,"Hello everyone. It's nice to see some familiar faces here, slowly getting to know everyone. Um, I'm Sylvie Huijben and I'm at Arizona State University, an assistant professor there. Um, and I work on particularly if we spin it into this parasite sphere that we are now on uh anti-malarial drug resistance evolution uh specifically and more in general just within host competition between different strains of of parasites and just how this like environment or the ecosystem within one host impacts, yeah.",33,1,20,10,0,None,No,No,No,None,"{'explain or define term or concept': ""Silvie explains her research area, focusing on anti-malarial drug resistance evolution and within-host competition between parasite strains, providing context for her work within the 'parasite sphere' mentioned by Kristin.""}"
2021MZT/output_2021_10_01_MZT_S1,B1.2_Zoom_Meeting_Room_1_2021_10_01_11_07_45/B1.2_Zoom_Meeting_Room_1_2021_10_01_11_07_45.json,Kristin Koutmou,00:00-00:38,rates or the levels of like host modifications or modifications in bugs can really change their ability to survive. Um presumably because it's impacting uh their translational machinery and so I'm interested in trying to understand how modulations in modifications um contribute to kind of parasites and bacteria and things adapting to different conditions. And I'm going to now pass things on to Sylvie.,38,2,10,10,0,Open Palms,No,No,No,None,"{'explain or define term or concept': 'The speaker explains how host modifications or modifications in bugs can change their ability to survive, which clarifies the concept for the listeners.', 'present new idea': 'The speaker introduces the idea of understanding how modulations in modifications contribute to parasites and bacteria adapting to different conditions, which is a novel research direction.', 'assign task': 'The speaker assigns the task of speaking next to Sylvie.'}"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk2.json,Dimitar Sasselov,08:12-09:11,"Um there is a lot to unpack there. So uh maybe we can take it one step at a time. Um like should we start with the solvent issue, water versus other solvents that could be very out of the box uh way to do it. And of course then there is the connection to the geo uh which uh a lot of you are very interested in.",59,0,0,0,0,None,No,No,No,None,"{'expand on existing idea': ""Dimitar is building on Aaron's points by suggesting they address them one by one."", 'propose decision': 'Dimitar proposes to start with the solvent issue, which is a concrete choice for the group to discuss first.', 'encourage particpatioin': 'Dimitar is encouraging the group to discuss the connection to the geochemistry, acknowledging their interest in it.'}"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk2.json,Dimitar Sasselov,03:12-04:45,"I wrote something myself and just to break the ice, I'll tell you what it is. It's a little bit provocative. So my kind of question for this is if if the main goal of this dialogue is how to find and you know, how to go about finding if there is life beyond earth, why is this topic about the necessary and sufficient conditions for life even relevant at all? Like why even discuss this? So I think Tim Lyons kind of started answering that question, but you know, we have to think about, you know, what are the connections? Maybe that's actually about the complementarity between exoplanet research and origin of life science.",93,0,10,0,0,Open Palms,No,No,No,None,"{'present new idea': 'The speaker introduces a provocative question about the relevance of discussing necessary and sufficient conditions for life when the main goal is to find life beyond Earth, which is a novel idea not previously discussed.', 'ask clarifying question': 'The speaker poses a question about why discussing the necessary and sufficient conditions for life is relevant to finding life beyond Earth, seeking clarification on the connection between these topics.', 'expand on existing idea': ""The speaker builds upon Tim Lyons' initial answer by suggesting that the connection might be about the complementarity between exoplanet research and origin of life science, expanding on the idea of relevance."", 'express enthusiasm': 'The speaker expresses enthusiasm by saying that the question is provocative and that it is important to think about the connections between exoplanet research and origin of life science.'}"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk2.json,Aaron Engelhart,04:45-08:08,"So I have just a few bullet points and um honestly this might be helpful or will be helpful for me because I think that um and uh the the way that I think about this I know isn't the way that you think about it. So just getting into it quickly the the few things I had written down is that um you know, this this kind of comes directly from the questions but water, you know, we think of it as so central to life, but like it's worth considering other solvents, you know, like if we're thinking about Titan or methane or other things like that and I think that per Dimitar's comment about um, you know, how is this even relevant to life on earth? I think that the other solvent question could be relevant to life on earth because, you know, from some of uh for instance like Nick Hud's work, uh there's been work on kind of hypersaline environments and alternative solvents that come from a lot of solute from an aqueous solution that when you concentrate it, you have something that's still liquid that you can do interesting chemistry in. Um the third and there's five here just so you know where I am on this. um is uh, you know, thinking about prebiotic chemistry. I think we think of it as something that happened and then there was life, but I think that it's worth considering it as we I think of these questions as kind of a progress bar for the emergence of life, you know, we go from low complexity to kind of what Dimitar was talking about higher complexity. Um and I think that that might kind of inform some of our thinking about, you know, we're talking about with exoplanets. Uh and then finally the last two are kind of related. Um there's going to obviously be some geochemical constraints on what kind of protobiomolecules emerge and that's going to vary from body to body. Um and this is going to have uh, you know, impacts from a chemical perspective in terms of, you know, what surfaces are presented and what kind of chemistry you can do on those surfaces as well as and this kind of ties into the geochemistry, um, you know, temperature and pressure. I think that there are environments that are close enough to an earthlike environment where the chemistry could be quite similar, you know, like Mars, you're at, you know, a few millibar. I think most of the same stuff can be done there, but if you're thinking about a high pressure environment, that can have pretty profound effects on folding of biopolymers and there's been experiments done with that. So those are the few things that came to mind for me. Um and uh I'm definitely interested in hearing uh what everyone else has to say about this.",203,0,30,0,0,None,No,No,No,None,"{'present new idea': 'The speaker introduces the idea of considering solvents other than water, such as methane on Titan, for the emergence of life.', 'expand on existing idea': ""The speaker expands on Dimitar's question about the relevance of necessary and sufficient conditions for life by suggesting that alternative solvents could be relevant to life on Earth, referencing Nick Hud's work on hypersaline environments."", 'provide supporting evidence': 'The speaker provides supporting evidence for the impact of temperature and pressure on the folding of biopolymers, mentioning experiments that have been done in high-pressure environments.', 'encourage particpatioin': 'The speaker ends by expressing interest in hearing what everyone else has to say, encouraging others to participate in the discussion.'}"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk8.json,Laurie Barge,00:01-00:25,It's a very big topic. I'm actually not sure. Maybe how can we best combine laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life.,24,0,25,50,0,Open Palms,No,No,No,None,"{'propose decision': 'Laurie proposes a way to combine laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life, which is a concrete choice for the group to consider given the discussion about time scales and the need to connect different fields.', 'present new idea': 'Laurie introduces a novel concept of combining laboratory modeling and observational approaches to understand the time scales of prebiotic chemistry and emergence of life, which has not been explicitly mentioned before in this specific way.'}"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk8.json,Laurie Barge,03:03-03:39,"What if we did like, you know, there's if there's a Venn diagram here, one is the conditions because we're we're really trying to answer, could life emerge on other exoplanets, right? So could could exoplanet or planetary science people make a list of which parameters are most variable between different planets because that would allow you to say which planet could or could not do a thing. And then the chemists could make which parameters are most effective in changing the way a chemical reaction turns out because you know certain ones you change them in the lab it is not that big of a deal. Other ones you change it, it changes everything and where that overlap is could be, you know, a shorter list where we could focus in the lab. Like if for example it turned out that massive differences in the amount of methane in the atmosphere are going to exist, but methane also really controls all of organic chemistry. That would be a thing to focus on. But then other things like maybe wouldn't.",36,0,22,0,0,Open Palms,No,No,No,None,"[{'present new idea': ""Laurie introduces a novel approach of using a Venn diagram to identify key parameters for prebiotic chemistry on exoplanets, which hasn't been explicitly suggested before.""}, {'propose decision': 'Laurie suggests that exoplanet scientists should list variable parameters between planets and chemists should list parameters that affect chemical reactions, and then focus on the overlap, proposing a concrete choice for the group to narrow their focus.'}]"
2021SLU/output_2021_06_10_SLU_S5,botB2_2021_06_10_12_35_06/botB2_2021_06_10_12_35_06_chunk8.json,Dimitar Sasselov,00:25-00:59,"Yeah, but could we have a specific kind of crazy idea where some chemists talk to some geophysicists and geochemists and say, hey, why don't we try this or that and see how it would work where this very different time scales can be linked either in the lab or in the model or both.",34,0,0,0,0,None,No,No,No,None,"{'propose decision': {'Explanation': ""Dimitar proposes a specific idea for the group to come up with a 'crazy idea' that links different time scales in the lab or model, building on the previous discussion about the challenges of linking time scales in prebiotic chemistry.""}, 'encourage particpatioin': {'Explanation': 'Dimitar encourages chemists, geophysicists, and geochemists to collaborate and come up with a specific idea, inviting them to contribute to the discussion.'}}"
2021SLU/output_2021_06_10_SLU_S3,bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45/bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45_chunk2.json,Natasha Batalha,01:44-02:18,"And so um, I feel like to to develop a statistical framework requires actually like defining a very focused question in the beginning. And so the questions that I wrote down were just like very basic like what is the fraction of planets that have oxidized versus reduced atmospheres or um, you know, what is the fraction of planets that have compositions that that deviate from chemical equilibrium. Um, I don't know if those like types of those types of questions would get more at the what is the diversity of atmospheres instead of saying like is there oxygen or not.",34,0,10,0,0,None,No,No,No,None,"{'present new idea': 'Natasha introduces the idea of focusing on broader questions about planetary atmospheres, such as the fraction of planets with oxidized versus reduced atmospheres, instead of solely searching for specific molecules like oxygen, which is a novel concept not previously mentioned.', 'expand on existing idea': 'Natasha expands on the idea of defining a focused question by providing examples of basic questions related to the diversity of atmospheres, building upon the previous discussion about sample sizes and atmospheric parameters.', 'propose decision': ""Natasha proposes focusing on broader questions about planetary atmospheres, such as the fraction of planets with oxidized versus reduced atmospheres, instead of solely searching for specific molecules like oxygen, suggesting a concrete choice for the group's research direction.""}"
2021SLU/output_2021_06_10_SLU_S3,bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45/bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45_chunk2.json,Lisa Kaltenegger,09:16-10:00,"I think because Daniel was doing the devil's advocate, I'm just going to do the other way around. It's like 51 peg was one planet and it completely blew open our understanding of what planets could be like and completely revised what we thought. So I think there's a space for both. So I agree. But um one of the things that you all had mentioned that I I kind of think is something that the community in general we haven't thought that much about and I I get, you know, that we want to say uh what do you need for life? What do you need, you know, how robust the biosignatures and so on. But I think in this specific um uh breakout session, I think what what what fascinated me by the idea is this idea what what can we do, you know, with five, with 10, with 500, with a thousand, we'll all be different.",44,0,0,0,0,Open Palms,No,No,No,None,"[{'provide supporting evidence': ""Lisa uses the example of 51 Pegasi to support the idea that even a single planet can revolutionize our understanding of planets, contrasting Daniel's point about the Viking landers."", 'express agreement': 'Lisa explicitly agrees that there is space for both approaches (small and large samples), indicating agreement with the previous discussion.', 'expand on existing idea': 'Lisa expands on the discussion by highlighting the importance of considering what can be achieved with different sample sizes (5, 10, 500, 1000 planets), building on the previous discussion about sample sizes and research questions.'}]"
2021SLU/output_2021_06_10_SLU_S3,bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45/bot3p2_Room_3_Zoom_Meeting_2021_06_10_12_36_45_chunk2.json,Daniel Apai,08:32-09:15,"Let me maybe just make a counter point and agree a bit with Nicole but make a bit of a counter point to the starting with very small sample. And I think one example for how that approach can completely fail would be the Viking landers that went to Mars and uh relatively simple but ambitious experiment that did not significant interesting, but it did basically what it found or what it was not finding life was actually cutting all the excitement out of uh of Mars exploration.",43,0,0,0,0,None,No,No,No,None,"{'express alternative decision': {'Explanation': 'Daniel is expressing an alternative decision by making a counterpoint to the idea of starting with a very small sample size, suggesting it might not be the best approach.'}, 'provide supporting evidence': {'Explanation': ""Daniel provides supporting evidence for his counterpoint by referencing the Viking landers' mission to Mars as an example of how starting with a small sample and a specific approach can lead to negative outcomes.""}}"
2021SLU/output_2021_06_11_SLU_S6,Zoom_Meeting_Room_6_2021_06_11_10_58_05/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk1.json,Daniel Apai (Univ Arizona),06:35-07:05,"And so I think it's also a good idea if you identify specific contributions from beyond astronomy, beyond this group, uh to take notes of those and then uh be able to seek out additional input team up with uh the appropriate experts beyond uh this group. Actually there's one more thing we have to do is to find a volunteer who will record the discussion and report back to the main room.",30,0,0,0,0,None,No,No,No,None,"{'assign task': 'Daniel Apai is assigning the task of finding a volunteer to record the discussion and report back to the main room, which is a necessary logistical step for the meeting.', 'propose decision': 'Daniel Apai is suggesting that the group identify specific contributions from beyond astronomy and take notes of those, which is a suggestion for how to approach the discussion.'}"
2021SLU/output_2021_06_11_SLU_S6,Zoom_Meeting_Room_6_2021_06_11_10_58_05/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk1.json,Daniel Apai (Univ Arizona),05:04-05:25,"Thank you all. I think maybe I just briefly I did an introduction from my side, so I'm Daniel from the University of Arizona. Um I work on a variety of topics related to exoplanets searches, characterization, um methods to find planets and characterize them and characterization of plant formation and atmospheres.",21,0,0,0,0,None,No,No,No,None,"{'explain or define term or concept': 'Daniel Apai introduces himself and his research interests, which serves to explain his background and expertise to the group.', 'acknowledge contribution': 'Daniel Apai thanks everyone for their introductions, acknowledging their participation.'}"
2021SLU/output_2021_06_11_SLU_S6,Zoom_Meeting_Room_6_2021_06_11_10_58_05/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk1.json,Daniel Apai (Univ Arizona),06:14-06:35,"Um I think that that's something good to keep in mind that we are in the second day, so it's maybe also a good idea to try to think potentially in hypothesis that could be tested, a project that you could team up to to explore and then also as we have seen in the team yesterday in a similar group setting, there were questions that went beyond the expertise of the group.",21,0,0,0,0,None,No,No,No,None,"{'encourage particpatioin': ""Daniel Apai encourages the group to think about testable hypotheses and projects they could team up to explore, building on the previous day's discussions."", 'propose decision': 'Daniel Apai suggests that the group should think about testable hypotheses and projects they could team up to explore.'}"
2021SLU/output_2021_06_11_SLU_S6,Zoom_Meeting_Room_6_2021_06_11_10_58_05/Zoom_Meeting_Room_6_2021_06_11_10_58_05_chunk5.json,Daniel Apai,02:27-02:43,"Yeah, and certainly for nearby brown dwarfs within a couple of parsecs, uh there were detections directly of uh Aurora radio emission, synchrotron emission basically from being channeled by the magnetic field of the brown dwarfs and so that those are basic Jupiter sized objects relatively nearby. So.",16,0,0,0,0,None,No,No,No,None,"{'provide supporting evidence': 'Daniel Apai provides evidence of aurora radio emission and synchrotron emission from nearby brown dwarfs, supporting the discussion about magnetic fields and their effects on exoplanets.'}"
